,start,end,who_said,line,similar_line,similarity,similarity_category
98,"00:07:31,960","00:07:34,566",Tony Stark,"Hey, J, give me an IR scan of the room, real quick.","Hey, J, give me an IR scan of the room, real quick",1.0,100%
99,"00:07:34,720","00:07:36,245",JARVIS,The wall to your left.,The wall to your left,1.0,100%
100,"00:07:36,360","00:07:38,010",JARVIS,I'm reading steel reinforcement,I'm reading steel reinforcement,1.0,100%
101,"00:07:39,240","00:07:40,890",JARVIS,and an air current.,and an air current,1.0,100%
102,"00:07:41,200","00:07:42,201",Tony Stark,Please be a secret door.,"Please be a secret door, please be a secret door, please be a secret door",1.0,100%
103,"00:07:42,360","00:07:44,280",Tony Stark,Please be a secret door.,"Please be a secret door, please be a secret door, please be a secret door",1.0,100%
104,"00:07:42,360","00:07:44,280",Tony Stark,Please be a secret door.,"Please be a secret door, please be a secret door, please be a secret door",1.0,100%
105,"00:07:44,920","00:07:45,921",Tony Stark,Yay.,Yay,1.0,100%
106,"00:08:02,200","00:08:04,123",Natasha Romanoff,"Hey, big guy.","Hey, big guy",1.0,100%
107,"00:08:06,480","00:08:08,130",Natasha Romanoff,Sun's getting real low.,The sun's getting real low,0.95,90% - 99%
108,"00:09:12,200","00:09:13,804",Steve Rogers,Baron Strucker.,Baron Strucker,1.0,100%
109,"00:09:14,320","00:09:16,243",Steve Rogers,Hydra's number one thug.,Hydra's number one thug,1.0,100%
110,"00:09:16,960","00:09:19,486",Strucker,"Technically, I'm a thug for S.H.I.E.L.D.","Technically, I'm a thug for SHIELD",0.99,90% - 99%
111,"00:09:19,640","00:09:21,688",Steve Rogers,"Well, then technically you're unemployed.",Well then technically you're unemployed,1.0,100%
112,"00:09:22,120","00:09:23,770",Steve Rogers,Where's Loki's sceptre?,Where's Loki's scepter,0.84,80% - 89%
113,"00:09:23,880","00:09:25,803",Strucker,"Don't worry, I know when I'm beat.","Don't worry, I know when I'm beat",1.0,100%
114,"00:09:26,720","00:09:29,291",Strucker,"You'll mention how I cooperated, I hope.","You'll mention how I cooperated, I hope",1.0,100%
115,"00:09:29,440","00:09:31,886",Steve Rogers,I'll put it right under illegal human experimentation.,I'll put it right under illegal human experimentation,1.0,100%
116,"00:09:33,080","00:09:34,525",Steve Rogers,How many are there?,How many are there,1.0,100%
117,"00:09:39,480","00:09:42,404",Steve Rogers,We have a second Enhanced.,"Wanda knocks Steve down using her telekinetic powers, then quickly leaves] We have a second enhanced",0.87,80% - 89%
118,"00:09:39,480","00:09:42,404",Steve Rogers,Female. Do not engage.,Do not engage,0.97,90% - 99%
119,"00:09:43,840","00:09:45,330",Steve Rogers,You'll have to be faster than...,Well then technically you're unemployed,0.77,< 80%
120,"00:09:50,520","00:09:52,170",Steve Rogers,"Guys, I got Strucker.","Guys, I got Strucker",1.0,100%
121,"00:09:52,360","00:09:55,762",Tony Stark,"Yeah, I got something bigger.","Yeah, I got",0.94,90% - 99%
122,"00:10:19,040","00:10:23,043",Tony Stark,"Thor, I got eyes on the prize.","Thor, I got eyes on the prize",1.0,100%
123,"00:11:12,880","00:11:16,248",Steve Rogers,You could have saved us.,You could've saved us,0.97,90% - 99%
124,"00:11:24,280","00:11:26,248",Steve Rogers,Why didn't you do more?,Why didn't you do more,1.0,100%
125,"00:12:03,760","00:12:05,569",Pietro Maximoff,We're just gonna let him take it?,We're just gonna let them take it,0.99,90% - 99%
126,"00:12:57,440","00:12:59,681",Natasha Romanoff,"Hey, the lullaby worked better than ever.","Hey, the lullaby worked better than ever",1.0,100%
127,"00:13:01,480","00:13:03,369",Bruce Banner,Just wasn't expecting a code green.,Just wasn't expecting the Code Green,0.89,80% - 89%
128,"00:13:03,440","00:13:07,404",Natasha Romanoff,"You hadn't been there, there would have been double the casualties.","If you hadn't been there, there would've been double the casualties",0.96,90% - 99%
129,"00:13:07,520","00:13:10,046",Natasha Romanoff,My best friend would've been a treasured memory.,My best friend would've been a treasured memory,1.0,100%
130,"00:13:10,800","00:13:12,723",Bruce Banner,"You know, sometimes exactly what I want to hear","You know, sometimes exactly what I want to hear isn't exactly what I want to hear",0.99,90% - 99%
131,"00:13:12,840","00:13:14,649",Bruce Banner,isn't exactly what I want to hear.,"You know, sometimes exactly what I want to hear isn't exactly what I want to hear",0.98,90% - 99%
132,"00:13:15,800","00:13:17,723",Natasha Romanoff,How long before you trust me?,How long before you trust me,1.0,100%
133,"00:13:19,720","00:13:21,449",Bruce Banner,It's not you I don't trust.,It's not you I don't trust,1.0,100%
134,"00:13:23,320","00:13:25,049",Natasha Romanoff,"Thor, report on the Hulk.","Thor, report on the Hulk",1.0,100%
135,"00:13:25,240","00:13:28,084",Thor,The gates of Hel are filled with the screams of his victims.,The gates of Hel are filled with the screams of his victims,1.0,100%
136,"00:13:30,120","00:13:33,124",Thor,"But not the screams of the dead, of course. No, no, wounded screams.","Uh, but, not the screams of the dead, of course",0.9,90% - 99%
137,"00:13:33,240","00:13:35,447",Thor,"Mainly whimpering, a great deal of complaining","wounded screams, mainly whimpering, a great deal of complaining and tales of sprained deltoids and, and uh",0.92,90% - 99%
138,"00:13:35,560","00:13:39,565",Thor,and tales of sprained deltoids and gout.,"wounded screams, mainly whimpering, a great deal of complaining and tales of sprained deltoids and, and uh",0.93,90% - 99%
139,"00:13:40,080","00:13:42,924",Tony Stark,"Hey, Banner, Dr Cho is on her way in from Seoul.","Hey Banner, Dr  Cho's on her way in from Seoul, is it okay if she sets up in your lab",0.85,80% - 89%
140,"00:13:43,080","00:13:44,600",Tony Stark,Is it okay if she sets up in your lab?,"Hey Banner, Dr  Cho's on her way in from Seoul, is it okay if she sets up in your lab",0.92,90% - 99%
141,"00:13:44,640","00:13:46,563",Bruce Banner,"Yeah, she knows her way around.","Uh, yeah, she knows her way around",0.95,90% - 99%
142,"00:13:46,760","00:13:47,966",Tony Stark,Thanks. Tell her to prep everything.,"Tell her to prep everything, Barton's gonna need the full treatment",0.87,80% - 89%
143,"00:13:48,080","00:13:49,411",Tony Stark,Barton's gonna need the full treatment.,"Tell her to prep everything, Barton's gonna need the full treatment",0.89,80% - 89%
144,"00:13:49,560","00:13:51,403",JARVIS,"Very good, sir.",Very good sir,1.0,100%
145,"00:13:49,560","00:13:51,403",Tony Stark,"Jarvis, take the wheel.","JARVIS, take the wheel",1.0,100%
146,"00:13:51,600","00:13:52,886",JARVIS,"Yes, sir.","Yes, sir",1.0,100%
