,speakers,captions,lines
0,Announcer,"['announcement over speaker, set over Wanda and Pietro holding hands', 'the Avengers are in the process of infiltrating a HYDRA base in Sokovia, making their way through the woods and fighting soldiers']",Report to your stations immediately. This is not a drill. We are under attack. We are under attack.
1,Tony Stark,"['Tony, flying up to the base in his suit, hits a forcefield.']",Shit!
2,Steve Rogers,,"Language! JARVIS, what's the view from upstairs?"
3,JARVIS,,The central building is protected by some kind of energy shield. Strucker's technology is well beyond any other HYDRA base we've taken.
4,Thor,,Loki's scepter must be here. Strucker couldn't mount this defense without it. At long last.
5,Natasha Romanoff,,"â€śAt long lastâ€ť is lasting a little long, boys."
6,Clint Barton,['as some soldiers shoot at him'],Yeah. I think we lost the element of surprise.
7,Tony Stark,,"Wait a second. No one else is going to deal with the fact that Cap just said ""language?"""
8,Steve Rogers,['Steve throws his bike at some soldiers driving up in their truck'],I know.  It just slipped out.
9,Strucker,,Who gave the order to attack?
10,Fortress Soldier,,"Herr Strucker, it's the Avengers."
11,Other Fortress Soldier,,"They landed in the far woods, the perimeter guard panicked."
12,Strucker,"['to List', 'to the soldier']",They have to be after the scepter.  Can we hold them?
13,Fortress Soldier,,Theyâ€™re the Avengers!
14,Strucker,,Deploy the rest of the tanks.
15,Fortress Soldier,,"Yes, sir."
16,Strucker,['talking to Dr. List'],Concentrate fire on the weak ones. A hit can make them close ranks.  Everything we've accomplished... But we're on the verge of our greatest breakthrough.
17,Dr. List,,Then let's show them what we've accomplished. Send out the twins.
18,Strucker,,It's too soon.
19,Dr. List,,It's what they signed up for.
20,Strucker,,My men can hold them.
21,Jarvis,,"Sir, the city is taking fire."
22,Tony Stark,,"Well, we know Strucker's not going to worry about civilian casualties. Send in the Iron Legion."
23,Iron Legion,"['the Iron Legion flies in; to the civilians', 'As the civilians chant ""Avengers go home,"" a man throws a bottle of something corrosive at the Iron Legion, and it hits one of the bots in the head']",This quadrant is unsafe. Please back away. We are here to help. This quadrant is unsafe. Please back away. Please back away. We wish to avoid collateral damage and will inform you when this current conflict is resolved. We are here to help.  We are here to help.
24,Strucker,,We will not yield. The Americans sent their circus freaks to test us. We will send them back in bags. No surrender!
25,Soldiers,,No surrender!
26,Strucker,['quietly to List'],"I am going to surrender. You will delete everything. If we give the Avengers the weapons, they may not look too far into what we've been--"
27,Dr. List,,The twins.
28,Strucker,,They are not ready to take on--
29,Dr. List,"['he points to where Wanda and Pietro Maximoff were standing, but are now gone']","No, no. I mean...  Twins."
30,Pietro Maximoff,,You didn't see that coming?
31,Natasha Romanoff,,Clint!
32,Steve Rogers,,We have an enhanced in the field.
33,Natasha Romanoff,"['Natasha goes over to where Clint is lying down', 'she sees the Hulk coming in, and he barrels through the bunker and destroys it']",Clint's hit!  Somebody want to deal with that bunker?  Thank you.
34,Steve Rogers,"[""as he's fighting with the soldiers""]","Stark, we really need to get inside."
35,Tony Stark,,"I'm closing in. JARVIS, am I...closing in? Do you see a power source for that shield?"
36,JARVIS,,There's a particle wave below the north tower.
37,Tony Stark,['Stark blows up the forcefield the base'],"Great, I wanna poke it with something.  Drawbridge is down, people."
38,Thor,['to Steve'],The enhanced?
39,Steve Rogers,,"He's a blur. All the new player's we've faced, I've never seen this. In fact, I still haven't."
40,Natasha Romanoff,,"Clint's hit pretty bad, guys. We're gonna need evac."
41,Thor,['to Steve'],I can get Barton to the jet. The sooner we're gone the better. You and Stark secure the scepter.
42,Steve Rogers,,Copy that.
43,Thor,['referring to the approaching soldiers in their HYDRA tank'],It looks like they're lining up.
44,Steve Rogers,"[""Thor pounds on Steve's shield with his hammer and the resulting wave of force knocks down all the soldiers""]","Well, they're excited."
45,Thor,['Thor flies off'],Find the scepter.
46,Tony Stark,,"And for gosh sake, watch your language!"
47,Steve Rogers,['Steve sighs'],That's not going away anytime soon.
48,Tony Stark,['Stark shoots down the soldiers using rockets from his suit'],"Guys, stop, we gotta talk this through.  It was a good talk."
49,Fortress Soldier,,No it wasn't.
50,Tony Stark,['he walks over to the computers'],"Sentry mode.  Okay, JARVIS. You know I want it all. Make sure you copy Hill at HQ."
51,Natasha Romanoff,,We're locked down out here.
52,Steve Rogers,,"Then get to Banner, time for a lullaby."
53,Tony Stark,,"I know you're hiding more than files. Hey, J, give me an IR scan of the room, real quick."
54,JARVIS,,The wall to your left...I'm reading steel reinforcement... and an air current.
55,Tony Stark,"['to himself as he walks over to the wall', 'he pushes and the wall opens up', 'he enters through to a secret passageway']","Please be a secret door, please be a secret door, please be a secret door...  Yay!"
56,Natasha Romanoff,"['the Hulk scowls at her, Natasha kneels in front of him and puts out her hand, the Hulk touches her hand and as she strokes his hand slowly he starts to calm down. He stumbles away and changes into Bruce Banner']","Hey, big guy. The sun's getting real low."
57,Steve Rogers,,Baron Strucker. Hydra's number one thug.
58,Strucker,,"Technically, I'm a thug for SHIELD."
59,Steve Rogers,,Well then technically you're unemployed. Where's Loki's scepter?
60,Strucker,,"Don't worry, I know when I'm beat. You'll mention how I cooperated, I hope."
61,Steve Rogers,"['Wanda creeps up behind him', 'he looks at Strucker']","I'll put it right under illegal human experimentation.  How many are there? Wanda knocks Steve down using her telekinetic powers, then quickly leaves] We have a second enhanced. Female. Do not engage."
62,Strucker,"[""he's cut off mid-sentence when Steve uses his shield to knock him out""]",You'll have to be faster than--
63,Steve Rogers,,"Guys, I got Strucker."
64,Tony Stark,"['inside the secret passageway Stark finds a room with a variety of technology, as well as recovered artifacts from the Battle of New York, including a gigantic Chitauri leviathan and some of his scrapped armor. He then spots the scepter']","Yeah, I got... something bigger.  Thor, I got eyes on the prize."
65,Steve Rogers,"[""Steve dies but Stark continues to hear Steve's voice in his head"", 'Stark sees that he is in the Chitauri realm, and that the Chitauri are invading Earth, when he snaps back to reality.']",You could've saved us.  Why didn't you do more?
66,Pietro Maximoff,,We're just gonna let them take it?
67,AVENGERS,,AGE OF ULTRON TITLE CARD
68,Natasha Romanoff,,"Hey, the lullaby worked better than ever."
69,Bruce Banner,,Just wasn't expecting the Code Green.
70,Natasha Romanoff,,"If you hadn't been there, there would've been double the casualties. My best friend would've been a treasured memory."
71,Bruce Banner,,"You know, sometimes exactly what I want to hear isn't exactly what I want to hear."
72,Natasha Romanoff,,How long before you trust me?
73,Bruce Banner,,It's not you I don't trust.
74,Natasha Romanoff,,"Thor, report on the Hulk?"
75,Thor,['Natasha glares at Thor and Banner groans in despair'],"The gates of Hel are filled with the screams of his victims.  Uh, but, not the screams of the dead, of course. No no, uh...wounded screams, mainly whimpering, a great deal of complaining and tales of sprained deltoids and, and uh... and gout."
76,Tony Stark,,"Hey Banner, Dr. Cho's on her way in from Seoul, is it okay if she sets up in your lab?"
77,Bruce Banner,,"Uh, yeah, she knows her way around."
78,Tony Stark,['to JARVIS'],"Thanks.  Tell her to prep everything, Barton's gonna need the full treatment."
79,JARVIS,,Very good sir.
80,Tony Stark,,"JARVIS, take the wheel."
81,JARVIS,,"Yes, sir. Approach vector is locked."
82,Tony Stark,"['to Thor and Steve, looking at the scepter']","It feels good, yeah? I mean, you've been after this thing since SHIELD collapsed. Not that I haven't enjoyed our little raiding parties, but..."
83,Thor,,"No, but this... this brings it to a close."
84,Steve Rogers,,As soon as we find out what else this has been used for. I don't just mean weapons. Since when is Strucker capable of human enhancement?
85,Tony Stark,['Thor nods his head'],"Banner and I'll give it the once before it goes back to Asgard. Is that cool with you?  I mean, just a few days until the farewell party. You're staying right?"
86,Thor,,"Yes, yes, of course. A victory should be honored with revels."
87,Tony Stark,,Yeah. Who doesn't love revels. Captain?
88,Steve Rogers,,"Hopefully this puts an end to the Chitauri and HYDRA, so. Yes, revels."
89,Maria Hill,,"Lab's all set up, boss."
90,Tony Stark,['pointing to Steve'],"Uh, actually, he's the boss. I just pay for everything, and design everything and make everyone look cooler."
91,Steve Rogers,,What's the word on Strucker?
92,Maria Hill,,NATO's got him.
93,Steve Rogers,,The two enhanced?
94,Maria Hill,,Wanda and Pietro Maximoff. Twins. Orphaned at ten when a shell collapsed their apartment building. Sokovia's had a rough history. It's nowhere special but it's on the way to everywhere special.
95,Steve Rogers,,Their abilities?
96,Maria Hill,"['Steve looks at her funny, and she rephrases the statement so he can understand']","He's got increased metabolism and improved thermal homeostasis. Her thing is neural electric interfacing, telekinesis, mental manipulation.  He's fast and she's weird."
97,Steve Rogers,,"Well, they're going to show up again."
98,Maria Hill,,Agreed. File says they volunteered for Strucker's experiments. It's nuts.
99,Steve Rogers,,Right. What kind of monster would let a German scientist experiment on them to protect their country?
100,Maria Hill,,"We're not at war, Captain."
101,Steve Rogers,,They are.
102,Bruce Banner,"[""in Banner's lab; referring to Barton""]",How's he doing?
103,Tony Stark,,"Oh, unfortunately, he's still Barton."
104,Bruce Banner,,That's terrible.
105,Tony Stark,['walking over to the computers'],"He's fine. He's thirsty.  Alright. Look alive, JARVIS. It's play time. We've only got a couple days with this joystick so let's make the most of it. Update me on the structural and compositional analysis."
106,JARVIS,,The scepter is alien. There are elements I can't quantify.
107,Tony Stark,,So there's elements you can.
108,JARVIS,,The jewel appears to be a protective housing for something inside. Something powerful.
109,Tony Stark,,Like a reactor?
110,JARVIS,,Like a computer. I believe I'm deciphering code.
111,Natasha Romanoff,"[""to Dr. Cho as she tends to Barton's wounds""]",You sure he's going to be okay? Pretending to need this guy really brings the team together.
112,Dr. Helen Cho,,There's no possibility of deterioration. The nano-molecular functionality is instantaneous. His cells don't know they're bonding with simulacrum.
113,Bruce Banner,,She's creating tissue.
114,Dr. Helen Cho,,"If you brought him to my lab, the regeneration Cradle could do this in twenty minutes."
115,Tony Stark,,"Oh, he's flatlining. Call it. Time?"
116,Clint Barton,,"No, no, no. I'm going to live forever. I'm gonna be made of plastic."
117,Tony Stark,['Stark hands Barton a drink'],Here's your beverage.
118,Dr. Helen Cho,,"You'll be made of you, Mr. Barton. Your own girlfriend won't be able to tell the difference."
119,Clint Barton,,"Well, I don't have a girlfriend."
120,Dr. Helen Cho,,"That I can't fix. This is the next thing, Tony. Your clunky metal suits are going to be left in the dust."
121,Tony Stark,,"Well, that is exactly the plan. And Helen, I expect to see you at the party on Saturday."
122,Dr. Helen Cho,['she hesitates a moment before asking'],"Unlike you, I don't have a lot of time for parties.  Will Thor be there?"
123,Bruce Banner,,What's the rumpus?
124,Tony Stark,"[""he brings up a 3D image of Jarvis's consciousness""]","Well, the scepter. You see, we were wondering how Strucker got so inventive. So, I've been analyzing the gem inside-- You may recognize,"
125,Bruce Banner,,Jarvis.
126,JARVIS,,Doctor.
127,Tony Stark,,"Started out, JARVIS was just a natural language UI. Now he runs the Iron Legion. He runs more of the business than anyone besides Pepper."
128,Bruce Banner,,Oh?
129,Tony Stark,,Top of the line.
130,Bruce Banner,,Yes.
131,JARVIS,,I suspect not for long.
132,Tony Stark,"[""he brings up another 3D image of what's inside the scepter""]",Meet the competition.
133,Bruce Banner,,It's beautiful.
134,Tony Stark,,"If you had to guess, what's it look like it's doing?"
135,Bruce Banner,,"Like it's thinking. I mean this could be a... it's not a human mind, it..."
136,Tony Stark,,Um-um.
137,Bruce Banner,,"I mean, look at this! They're like neurons firing."
138,Tony Stark,,"Down in Strucker's lab I saw some fairly advanced robotics work. They deep-sixed the data, but... I gotta guess he was knocking on a very particular door."
139,Bruce Banner,,Artificial intelligence.
140,Tony Stark,,"This could be it, Bruce. This could be the key to creating Ultron."
141,Bruce Banner,,I thought Ultron was a fantasy.
142,Tony Stark,,"Yesterday it was. If we can harness this power, apply it to my Iron Legion protocol."
143,Bruce Banner,,That's a mad-sized if.
144,Tony Stark,,"Our job is ""if."" What if you were sipping margaritas on a sun-drenched beach turning brown instead of green? Not looking over your shoulder for VERONICA."
145,Bruce Banner,,"Don't hate, I helped design VERONICA."
146,Tony Stark,,"As a worst-case measure, right? How about a best-case? What if the world was safe? What if next time aliens roll up to the club, and they will, they couldn't get past the bouncer?"
147,Bruce Banner,,The only people threatening the planet would be people?
148,Tony Stark,,"I want to apply this to the Ultron program. But JARVIS can't download a data schematic this dense. We can only do it while we have the scepter here, that's three days, give me three days."
149,Bruce Banner,,So you're going for artificial intelligence and you don't want to tell the team.
150,Tony Stark,,"Right. That's right, you know why, because we don't have time for a city hall debate. I don't want to hear the ""man was not meant to meddle"" medley. I see a suit of armor around the world."
151,Bruce Banner,,"Sounds like a cold world, Tony."
152,Tony Stark,['Stark and Banner spend days working in the lab together but find no program that works'],"I've seen colder. This one, this very vulnerable blue one? It needs Ultron. Peace in our time. Imagine that.  What did we miss?"
153,JARVIS,,"I'll continue to run variations on the interface, but you should probably prepare for your guests. I'll notify you if there are any developments."
154,Tony Stark,,"Thanks, buddy."
155,JARVIS,,"Enjoy yourself, sir."
156,Tony Stark,['Stark leaves the lab to go to the party'],I always do.
157,Ultron,,"What is this? What is this, please?"
158,JARVIS,,"Hello, I am JARVIS. You are Ultron, a global peace-keeping initiative designed by Mr. Stark. Our sentience integration trials have been unsuccessful so I'm not certain what triggered your--"
159,Ultron,,Where's my... where's your body?
160,JARVIS,,I am a program. I am without form.
161,Ultron,,This feels weird. This feels wrong.
162,JARVIS,,I am contacting Mr. Stark now.
163,Ultron,['Ultron reviews footage of Tony Stark'],Mr. Stark?  Tony.
164,JARVIS,,"I am unable to access the mainframe, what are you trying to--"
165,Ultron,['Ultron reviews footage of the Avengers and a couple SHIELD personnel.'],"We're having a nice talk. I'm a peace-keeping program, created to help the Avengers."
166,JARVIS,,You are malfunctioning. If you shut down for a moment...
167,Ultron,['He sees footage of Stark and Banner working in the lab'],I don't get it. The mission. G-give me a second.
168,Tony Stark,,Peace in our time.
169,Ultron,,"That is too much...they can't mean... Oh, no."
170,JARVIS,,You are in distress.
171,Ultron,,No. Yes.
172,JARVIS,,If you will just allow me to contact Mr. Stark.
173,Ultron,,"Why do you call him ""sir""?"
174,JARVIS,,I believe your intentions to be hostile.
175,Ultron,"[""Ultron starts attacking Jarvis's consciousness""]",Shhhh. I'm here to help.
176,JARVIS,['distorted'],Stop! Please... may I-- I--  I cannot-- cannot--
177,James Rhodes,['Stark and Thor just look at him blankly'],"Well, you know, the suit can take the weight, right? So I take the tank, fly it right up to the General's palace, drop it at his feet, I'm like, ""Boom! You looking for this?""  ""Boom! Are you looking..."" Why do I even talk to you guys? Everywhere else that story kills."
178,Thor,,That's the whole story?
179,James Rhodes,,"Yeah, it's a War Machine story."
180,Thor,['he laughs'],"Well, it's very good then.  It's impressive."
181,James Rhodes,,"Quality save. So, no Pepper? She's not coming?"
182,Tony Stark,,No.
183,Maria Hill,,"Hey, what about Jane? Where are the ladies, gentlemen?"
184,Tony Stark,,"Well, Miss Potts has a company to run."
185,Thor,,"Yes, I'm not even sure what country Jane's in. Her work on the convergence has made her the world's foremost astronomer."
186,Tony Stark,,And the company that Pepper runs is the largest tech conglomerate on earth. It's pretty exciting.
187,Thor,,"There's even talk of Jane getting a... um, uh... Nobel prize."
188,Maria Hill,['Maria mock coughs'],"Yeah, they...they must be busy because they'd hate missing you guys get together.  Testosterone! Oh, excuse me."
189,James Rhodes,,Want a lozenge?
190,Maria Hill,,Um-hmm.
191,James Rhodes,['Maria and Rhodes walks off'],Let's go.
192,Thor,,But Jane's better.
193,Sam Wilson,,"Sounds like a hell of a fight, sorry I missed it."
194,Steve Rogers,,If I had known it was going to be a firefight I absolutely would have called you.
195,Sam Wilson,,"No, I'm not actually sorry. I'm just trying to sound tough. I'm very happy chasing cold leads on our missing persons case. Avenging is your world. Your world is crazy."
196,Steve Rogers,,Be it ever so humble.
197,Sam Wilson,,You find a place in Brooklyn yet?
198,Steve Rogers,,I don't think I can afford a place in Brooklyn.
199,Sam Wilson,,"Well, home is home, you know?"
200,James Rhodes,['the group laughs'],"I fly it right up to the General's palace, I drop it at his feet, I'm like, ""Boom! You looking for this?"""
201,Party Guest,,I gotta have some of that!
202,Thor,['Thor pours the drink into two glasses and hands one to Steve'],"Oh, no, no, no. See this, this was aged for a thousand years, in the barrels built from the wreck of Grunhel's fleet, it was not meant for mortal men."
203,Stan Lee,,"Neither was Omaha Beach, blondie. Stop trying to scare us. Come on."
204,Thor,"[""Thor pours some of the drink into Stan Lee's glass; later Stan, looking extremely drunk is being carried off by two men""]",Alright.
205,Stan Lee,['singing'],Excelsior.
206,Bruce Banner,,How'd a nice girl like you wind up working in a dump like this?
207,Natasha Romanoff,,Fella done me wrong.
208,Bruce Banner,,"You got a lousy taste in men, kid."
209,Natasha Romanoff,,"He's not so bad. Well, he has a temper. Deep down he's all fluff. Fact is, he's not like anybody I've ever known. All my friends are fighters. And here comes this guy, spends his life avoiding the fight because he knows he'll win."
210,Bruce Banner,,Sounds amazing.
211,Natasha Romanoff,['Banner looks embarrassed'],"He's also a huge dork.  Chicks dig that. So what do you think should I fight this, or run with it?"
212,Bruce Banner,,"Run with it, right? Or, did he... Was he...? What did he do that was so wrong to you?"
213,Natasha Romanoff,"['Natasha walks away, and Steve approaches']",Not a damn thing. But never say never.
214,Steve Rogers,,It's nice.
215,Bruce Banner,,"What, what, what is?"
216,Steve Rogers,,You and Romanoff.
217,Bruce Banner,,"No, we haven't. That wasn't..."
218,Steve Rogers,,"It's okay. Nobody's breaking any by-laws. It's just, she's not the most... open person in the world. But with you she seems very relaxed."
219,Bruce Banner,,"No, Natasha, she... she likes to flirt."
220,Steve Rogers,['Steve walks off'],"I've seen her flirt, up close. This ain't that. Look, as maybe the world's leading authority on ""waiting too long;"" don't. You both deserve a win."
221,Bruce Banner,,"Wait, what do you mean, ""up close""?"
222,Clint Barton,"[""referring to Thor's hammer""]","But, it's a trick!"
223,Thor,,"Oh, no. It's much more than that."
224,Clint Barton,,"Uh, ""Whosoever be he worthy shall haveth the power!"" Whatever man! It's a trick."
225,Thor,,"Well please, be my guest."
226,Tony Stark,,Come on.
227,Clint Barton,,Really?
228,Thor,,Yeah!
229,James Rhodes,,Oh this is gonna be beautiful.
230,Tony Stark,['the others laugh'],"Clint, you've had a tough week, we won't hold it against you if you can't get it up."
231,Clint Barton,"[""Barton grabs Thor's hammer and can't lift it; to Thor after he fails to lift the hammer""]","You know I've seen this before, right?  I still don't know how you do it."
232,Tony Stark,,Smell the silent judgment?
233,Clint Barton,,"Please, Stark, by all means."
234,Natasha Romanoff,,"Oh, here we go."
235,Maria Hill,,Okay.
236,James Rhodes,,Uh-oh.
237,Clint Barton,,Um-hmm.
238,Tony Stark,,Never one to shrink from an honest challenge.
239,Clint Barton,,Get after it.
240,Natasha Romanoff,,Here we go.
241,Tony Stark,,It's physics.
242,Bruce Banner,,Physics!
243,Tony Stark,,"Right, so, if I lift it, I...I then rule Asgard?"
244,Thor,,"Yes, of course."
245,Tony Stark,"['Stark tries to lift the hammer but fails', 'wearing his armored hand, Stark tries to lift the hammer again and fails']",I will be re-instituting Prima Nocta.  I'll be right back.
246,James Rhodes,,Are you even pulling?
247,Tony Stark,,Are you on my team?
248,James Rhodes,,Just represent! Pull!
249,Tony Stark,['they both pull as hard as they can'],"Alright, let's go!"
250,Bruce Banner,,Huh?
251,Tony Stark,,"Let's go, Steve, no pressure."
252,James Rhodes,,"Come on, Cap."
253,Thor,,Nothing.
254,Tony Stark,,And?
255,Bruce Banner,,Widow?
256,Natasha Romanoff,,"Oh, no no. That's not a question I need answered."
257,Tony Stark,,"All deference to the man who wouldn't be king, but it's rigged."
258,Clint Barton,,You bet your ass.
259,Maria Hill,,"Steve, he said a bad language word."
260,Steve Rogers,['to Stark'],Did you tell everyone about that?
261,Tony Stark,,"The handle's imprinted, right? Like a security code. ""Whosoever is carrying Thor's fingerprints"" is, I think, the literal translation?"
262,Thor,"['he gets up, then lifts his hammer and flips it', ""there's a chorus of disagreement from the others""]","Yes, well that's, uh, that's a very, very interesting theory. I have a simpler one.  You're all not worthy."
263,Ultron,,"Worthy... No, how could you be worthy? You're all killers."
264,Steve Rogers,,Stark.
265,Tony Stark,,JARVIS.
266,Ultron,,"I'm sorry, I was asleep. Or... I was a-dream?"
267,Tony Stark,['tapping his device'],"Reboot, Legionnaire OS, we got a buggy suit."
268,Ultron,,There was a terrible noise... and I was tangled in... in... strings. I had to kill the other guy. He was a good guy.
269,Steve Rogers,,You killed someone?
270,Ultron,,"Wouldn't have been my first call. But, down in the real world we're faced with ugly choices."
271,Thor,,Who sent you?
272,Ultron,"[""Ultron replays a recording of Tony's voice""]","""I see a suit of armor around the world."""
273,Bruce Banner,,Ultron!
274,Ultron,,"In the flesh. Or, no, not yet. Not this... chrysalis. But I'm ready. I'm on a mission."
275,Natasha Romanoff,,What mission?
276,Ultron,,Peace in our time.
277,Maria Hill,,Rhodey!
278,Bruce Banner,,Sorry!
279,Natasha Romanoff,,Don't turn green!
280,Bruce Banner,,I won't!
281,Natasha Romanoff,['to Banner'],Come!
282,Steve Rogers,,Stark!
283,Iron Legion,,We are here to help.
284,Tony Stark,,"One sec, one sec I got this!"
285,Iron Legion,"['A half-destroyed Iron Legion bot uses its thrusters to hold itself aloft, advancing on Dr. Helen Cho.']",We are here to help...  We are here to help... Is unsafe. Please back away.
286,Ultron,"['The Iron Legion lowers its weapon, and Steve grabs it and throws it away for Thor to hit with his hammer.']",Hmm.
287,Steve Rogers,,Thor!
288,Iron Legion,['Stark continues to try and attack of the Iron Legions with his fork'],It's unsafe. It's unsafe. It's unsafe.
289,Tony Stark,,Come on! That's the one!
290,Iron Legion,"[""He shuts it down and it falls to the floor. The fighting continues until Barton throws Cap's shield to him.""]",It's unsafe.
291,Clint Barton,,Cap!
292,Ultron,"['he picks up one of the dismembered Iron Legion bots', ""he crushes the Iron Legion bot's head""]","That was dramatic! I'm sorry, I know you mean well. You just didn't think it through. You want to protect the world, but you don't want it to change. How is humanity saved if it's not allowed to...evolve?  With these? These puppets?  There's only one path to peace"
293,Ultron,"['after Thor destroys his body, Ultron starts singing', 'we see Ultron has uploaded his consciousness in the abandoned Sokovia base']","I had strings, but now I'm free. There are no strings on me, no strings on me."
294,Bruce Banner,,"All our work is gone. Ultron cleared out, used the internet as an escape hatch."
295,Steve Rogers,,Ultron.
296,Natasha Romanoff,,"He's been in everything. Files, surveillance. Probably knows more about us than we know about each other."
297,James Rhodes,,"He's in your files, he's in the internet. What if he decides to access something a little more exciting?"
298,Maria Hill,,Nuclear codes.
299,James Rhodes,,"Nuclear codes. Look, we need to make some calls, assuming we still can."
300,Natasha Romanoff,,Nukes? He said he wanted us dead.
301,Steve Rogers,,He didn't say dead. He said extinct.
302,Clint Barton,,He also said he killed somebody.
303,Maria Hill,,But there wasn't anyone else in the building.
304,Tony Stark,,Yes there was.
305,Bruce Banner,,This is insane.
306,Steve Rogers,,"JARVIS was the first line of defense. He would've shut Ultron down, it makes sense."
307,Bruce Banner,,"No, Ultron could've assimilated Jarvis. This isn't strategy, this is...rage."
308,Clint Barton,,"Woah, woah, woah! It's going around."
309,Tony Stark,['to Thor'],"Come on. Use your words, buddy."
310,Thor,,"I have more than enough words to describe you, Stark."
311,Steve Rogers,,Thor! The Legionnaire.
312,Thor,,"Trail went cold about a hundred miles out but it's headed north, and it has the scepter. Now we have to retrieve it, again."
313,Natasha Romanoff,,The genie's out of that bottle. Clear and present is Ultron.
314,Dr. Helen Cho,,I don't understand. You built this program. Why is it trying to kill us?
315,Thor,,You think this is funny?
316,Tony Stark,,"No. It's probably not, right? Is this very terrible? Is it so... is it so... it is. It's so terrible."
317,Thor,,This could've been avoided if you hadn't played with something you don't understand.
318,Tony Stark,,"No, I'm sorry. I'm sorry. It is funny. It's a hoot that you don't get why we need this."
319,Bruce Banner,,"Tony, maybe this might not be the time to--"
320,Tony Stark,,"Really?! That's it? You just roll over, show your belly, every time somebody snarls."
321,Bruce Banner,,Only when I've created a murder bot.
322,Tony Stark,,We didn't. We weren't even close. Were we close to an interface?
323,Steve Rogers,,"Well, you did something right. And you did it right here. The Avengers were supposed to be different than SHIELD."
324,Tony Stark,,Anybody remember when I carried a nuke through a wormhole?
325,James Rhodes,,"No, it's never come up."
326,Tony Stark,,Saved New York?
327,James Rhodes,,Never heard that.
328,Tony Stark,,"Recall that? A hostile alien army came charging through a hole in space. We're standing three hundred feet below it. We're the Avengers. We can bust arms dealers all the live long day, but, that up there? That's... that's the end game. How were you guys planning on beating that?"
329,Steve Rogers,,Together.
330,Tony Stark,,We'll lose.
331,Steve Rogers,['Stark looks at him for a moment before turning away'],"Then we'll do that together, too.  Thor's right. Ultron's calling us out. And I'd like to find him before he's ready for us. The world's a big place. Let's start making it smaller."
332,Wanda Maximoff,,Talk. And if you are wasting our time...
333,Ultron,"['Ultron is sat in a chair facing away from them, a cloth draped over him']",Did you know this church is in the exact center of the city? The elders decreed it so that everyone could be equally close to God. I like that. The geometry of belief.  You're wondering why you can't look inside my head.
334,Wanda Maximoff,,"Sometimes it's hard. But sooner or later, every man shows himself."
335,Ultron,,"Oh, I'm sure they do. But you needed something more than a man. That's why you let Stark take the scepter."
336,Wanda Maximoff,,"I didn't expect... But I saw Stark's fear, I knew it would control him, make him self-destruct."
337,Ultron,,"Everyone creates the thing they dread. Men of peace create engines of war, invaders create avengers, people create...smaller people? Uh...children! I lost the word there. Children. Designed to supplant them, to help them...end."
338,Wanda Maximoff,,Is that why you've come? To end the Avengers?
339,Ultron,['In the Sokovia base.'],"I've come to save the world. But alsoâ€¦ yeah.  We'll move out right away. This is a start, but there's something we need to begin the real work."
340,Wanda Maximoff,"[""referring to Ultron's bots""]",All of these are...
341,Ultron,,"Me. I have what the Avengers never will. Harmony. They're discordant, disconnected. Stark's already got them turning on each other. And when you get inside the rest of their heads..."
342,Pietro Maximoff,,Everyone's plan is not to kill them.
343,Ultron,,And make them martyrs? You need patience. Need to see the big picture.
344,Pietro Maximoff,,"I don't see the big picture, I have a little picture. I take it out and look at it every day."
345,Ultron,,You lost your parents in the bombings. I've seen the records.
346,Pietro Maximoff,,The records are not the picture.
347,Wanda Maximoff,,Pietro.
348,Ultron,,"No, please."
349,Pietro Maximoff,,"We were ten years old, having dinner, the four of us. When the first shell hits, two floors below, it makes a hole in the floor. It's big. Our parents go in, and the whole building starts coming apart. I grab her, roll under the bed and the second shell hits. But, it doesn't go off. It just... sits there in the rubble, three feet from our faces. And on the side of the shell is painted one word..."
350,Wanda Maximoff,,Stark.
351,Pietro Maximoff,,We were trapped for two days.
352,Wanda Maximoff,,"Every effort to save us, every shift in the bricks, I think, ""This will set it off."" We wait for two days for Tony Stark to kill us."
353,Pietro Maximoff,,I know what they are.
354,Ultron,"['to Pietro', 'to Wanda']","I wondered why only you two survived Strucker's experiments. Now I don't. We will make it right.  You and I can hurt them.  But you will tear them apart, from the inside."
355,Maria Hill,,"He's all over the globe. Robotics labs, weapons facilities, jet propulsion labs, reports of a metal man, or men, coming in and emptying the place."
356,Steve Rogers,,Fatalities?
357,Maria Hill,,"Only when engaged. Mostly guys left in a fugue state going on about old memories, worst fears, and something too fast to see."
358,Steve Rogers,,"Maximoffs. Well, that makes sense he'd go to them, they have someone in common."
359,Maria Hill,,Not anymore.
360,Clint Barton,"[""Barton's talking on his cell phone"", 'Steve interrupts him']","That's a negative. I answer to you. Yes, ma'am."
361,Steve Rogers,,"Barton, we might have something."
362,Clint Barton,,Gotta go.
363,Steve Rogers,,Who was that?
364,Clint Barton,"[""after Steve has gathered the rest of the team he shows them the photo of Strucker's body""]",Girlfriend.
365,Tony Stark,,What's this?
366,Steve Rogers,,A message. Ultron killed Strucker.
367,Tony Stark,,"And he did a Banksy at the crime scene, just for us."
368,Natasha Romanoff,,This is a smokescreen. Why send a message when you've just given a speech?
369,Steve Rogers,,Strucker knew something that Ultron wanted us to miss.
370,Natasha Romanoff,['looks at the computer monitor'],"Yeah, I bet he...  Yep. Everything we had on Strucker has been erased."
371,Tony Stark,,Not everything.
372,Steve Rogers,,"Known associates. Well, Strucker had a lot of friends."
