,start,end,who_said,line,similarity,similar_line
126,"00:12:57,440","00:12:59,681",Natasha Romanoff,"Hey, the lullaby worked better than ever.",0.98,"Hey, the lullaby worked better than ever"
127,"00:13:01,480","00:13:03,369",Bruce Banner,Just wasn't expecting a code green.,0.76,Just wasn't expecting the Code Green
128,"00:13:03,440","00:13:07,404",Natasha Romanoff,"You hadn't been there, there would have been double the casualties.",0.95,"If you hadn't been there, there would've been double the casualties"
129,"00:13:07,520","00:13:10,046",Natasha Romanoff,My best friend would've been a treasured memory.,0.99,My best friend would've been a treasured memory
130,"00:13:10,800","00:13:12,723",Bruce Banner,"You know, sometimes exactly what I want to hear",0.99,"You know, sometimes exactly what I want to hear isn't exactly what I want to hear"
131,"00:13:12,840","00:13:14,649",Bruce Banner,isn't exactly what I want to hear.,0.98,"You know, sometimes exactly what I want to hear isn't exactly what I want to hear"
132,"00:13:15,800","00:13:17,723",Natasha Romanoff,How long before you trust me?,0.98,How long before you trust me
133,"00:13:19,720","00:13:21,449",Bruce Banner,It's not you I don't trust.,0.99,It's not you I don't trust
134,"00:13:23,320","00:13:25,049",Natasha Romanoff,"Thor, report on the Hulk.",0.98,"Thor, report on the Hulk"
135,"00:13:25,240","00:13:28,084",Thor,The gates of Hel are filled with the screams of his victims.,0.99,The gates of Hel are filled with the screams of his victims
136,"00:13:30,120","00:13:33,124",Thor,"But not the screams of the dead, of course. No, no, wounded screams.",0.95,"Uh, but, not the screams of the dead, of course"
137,"00:13:33,240","00:13:35,447",Thor,"Mainly whimpering, a great deal of complaining",0.93,"wounded screams, mainly whimpering, a great deal of complaining and tales of sprained deltoids and, and uh"
138,"00:13:35,560","00:13:39,565",Thor,and tales of sprained deltoids and gout.,0.92,"wounded screams, mainly whimpering, a great deal of complaining and tales of sprained deltoids and, and uh"
139,"00:13:40,080","00:13:42,924",Tony Stark,"Hey, Banner, Dr Cho is on her way in from Seoul.",0.88,"Hey Banner, Dr  Cho's on her way in from Seoul, is it okay if she sets up in your lab"
140,"00:13:43,080","00:13:44,600",Tony Stark,Is it okay if she sets up in your lab?,0.79,"Hey Banner, Dr  Cho's on her way in from Seoul, is it okay if she sets up in your lab"
141,"00:13:44,640","00:13:46,563",Bruce Banner,"Yeah, she knows her way around.",0.95,"Uh, yeah, she knows her way around"
142,"00:13:46,760","00:13:47,966",Tony Stark,Thanks. Tell her to prep everything.,0.84,"Tell her to prep everything, Barton's gonna need the full treatment"
143,"00:13:48,080","00:13:49,411",Tony Stark,Barton's gonna need the full treatment.,0.92,"Tell her to prep everything, Barton's gonna need the full treatment"
144,"00:13:49,560","00:13:51,403",JARVIS,"Very good, sir.",0.77,"Yes, sir"
145,"00:13:49,560","00:13:51,403",Tony Stark,"Jarvis, take the wheel.",0.96,"JARVIS, take the wheel"
146,"00:13:51,600","00:13:52,886",JARVIS,"Yes, sir.",0.91,"Yes, sir"
147,"00:13:53,000","00:13:54,889",JARVIS,Approach vector is locked.,0.94,Approach vector is locked
148,"00:13:55,040","00:13:57,441",Tony Stark,"Feels good, yeah?",0.69,Is that cool with you
149,"00:13:57,560","00:13:59,642",Tony Stark,"I mean, you've been after this thing since S.H.I.E.L.D. collapsed.",0.97,"I mean, you've been after this thing since SHIELD collapsed"
150,"00:13:59,760","00:14:01,808",Tony Stark,"Not that I haven't enjoyed our little raiding parties, but...",1.0,"Not that I haven't enjoyed our little raiding parties, but"
151,"00:14:01,920","00:14:04,321",Thor,"No, but this... This brings it to a close.",0.93,this brings it to a close
152,"00:14:05,080","00:14:06,923",Steve Rogers,As soon as we find out what else this has been used for.,0.99,As soon as we find out what else this has been used for
