,line,start,end
881,Few hours from where?,"01:00:02,960","01:00:04,530"
882,A safe house.,"01:00:05,440","01:00:06,726"
883,What is this place?,"01:00:33,200","01:00:34,690"
884,Safe house.,"01:00:34,800","01:00:36,165"
885,Let's hope.,"01:00:37,120","01:00:38,326"
886,Honey?,"01:00:43,360","01:00:44,407"
887,I'm home.,"01:00:44,960","01:00:46,121"
888,Hi.,"01:00:48,720","01:00:49,767"
889,"Company. Sorry, didn't call ahead.","01:00:50,120","01:00:52,168"
890,Hey.,"01:00:52,280","01:00:53,281"
891,This is an agent of some kind.,"01:00:54,240","01:00:55,685"
892,"Gentlemen, this is Laura.","01:00:55,760","01:00:58,240"
893,I know all of your names.,"01:00:59,240","01:01:01,083"
894,Incoming.,"01:01:02,720","01:01:04,768"
895,Dad!,"01:01:05,680","01:01:07,364"
896,"Hi, sweetheart!","01:01:05,680","01:01:07,364"
897,"Hey, buddy.","01:01:07,480","01:01:08,641"
898,How are you guys doing?,"01:01:08,880","01:01:10,245"
899,These are smaller agents.,"01:01:10,520","01:01:12,409"
900,Look at your face!,"01:01:10,520","01:01:12,409"
901,"Oh, my goodness.","01:01:12,600","01:01:13,681"
902,Did you bring Auntie Nat?,"01:01:14,080","01:01:16,447"
903,Why don't you hug her and find out?,"01:01:16,680","01:01:19,763"
904,Sorry for barging in on you.,"01:01:20,560","01:01:22,801"
905,"Yeah, we would have called ahead, but we were busy having no idea that you existed.","01:01:20,560","01:01:24,922"
906,"Yeah, well, Fury helped me set this up when I joined.","01:01:25,280","01:01:28,250"
907,He kept it off S.H.I.E.L.D.'s files.,"01:01:29,080","01:01:31,725"
908,I'd like to keep it that way.,"01:01:29,080","01:01:31,725"
909,I figure it's a good place to lay low.,"01:01:32,480","01:01:34,209"
910,Honey.,"01:01:34,320","01:01:35,765"
911,I missed you. How's little Natasha?,"01:01:36,800","01:01:39,326"
912,She's...,"01:01:39,440","01:01:40,726"
913,Nathaniel.,"01:01:43,040","01:01:44,041"
914,Traitor.,"01:01:46,800","01:01:47,801"
915,Thor?,"01:02:03,680","01:02:04,841"
916,I saw something in that dream.,"01:02:04,960","01:02:06,803"
917,I need answers. I won't find them here.,"01:02:06,920","01:02:09,526"
918,We can go home.,"01:02:20,080","01:02:21,366"
919,See? You worried for nothing.,"01:02:32,880","01:02:34,723"
920,"Can't even feel the difference, can you?","01:02:34,840","01:02:36,968"
921,"If they're sleeping here, some of them are gonna have to double up.","01:02:39,320","01:02:42,523"
922,"Yeah, that's not gonna sell.","01:02:44,600","01:02:46,728"
923,What about Nat and Dr Banner?,"01:02:49,560","01:02:51,881"
924,How long has that been going on?,"01:02:52,320","01:02:54,243"
925,Has what?,"01:02:54,760","01:02:56,808"
926,You are so cute.,"01:02:56,960","01:02:58,689"
927,Nat and Banner?,"01:02:58,920","01:03:00,365"
928,"I'll explain when you're older, Hawkeye.","01:03:01,080","01:03:05,365"
929,"Well, okay.","01:03:02,680","01:03:05,365"
930,"It's bad, right?","01:03:07,320","01:03:08,731"
931,Nat seems really shaken.,"01:03:09,080","01:03:10,241"
932,Ultron has these allies.,"01:03:11,720","01:03:13,210"
933,"These kids. They're punks, really.","01:03:13,320","01:03:17,250"
934,"But they carry a big, damn stick.","01:03:18,960","01:03:21,406"
935,And Nat took a serious hit.,"01:03:21,520","01:03:22,726"
936,Someone's gonna have to teach them some manners.,"01:03:23,920","01:03:26,400"
937,That someone being you.,"01:03:26,600","01:03:28,409"
938,You know I totally support your avenging.,"01:03:29,720","01:03:32,564"
939,I couldn't be prouder.,"01:03:32,680","01:03:34,523"
940,But I see those guys...,"01:03:36,080","01:03:37,411"
941,Those gods...,"01:03:37,600","01:03:39,568"
942,You don't think they need me.,"01:03:41,560","01:03:43,289"
943,"I think they do, which is a lot scarier.","01:03:43,960","01:03:47,601"
944,They're a mess.,"01:03:48,760","01:03:50,569"
945,Yeah.,"01:03:51,560","01:03:52,561"
946,I guess they're my mess.,"01:03:53,320","01:03:54,765"
947,You need to be sure,"01:03:56,320","01:03:57,924"
948,"that this team is really a team, and that they have your back.","01:03:58,360","01:04:02,844"
949,Things are changing for us.,"01:04:06,200","01:04:08,771"
950,"In a few months' time, you and me are gonna be outnumbered.","01:04:08,880","01:04:14,205"
951,I need...,"01:04:14,320","01:04:15,606"
952,Just be sure.,"01:04:18,800","01:04:20,609"
953,"Yes, ma'am.","01:04:21,440","01:04:22,930"
954,I can feel the difference.,"01:04:32,160","01:04:34,003"
955,"Scream, and your entire staff dies.","01:04:46,960","01:04:49,645"
956,"I could've killed you, Helen, the night we met.","01:04:51,560","01:04:53,801"
957,I didn't.,"01:04:53,960","01:04:55,007"
958,Do you expect a thankyou note?,"01:04:55,160","01:04:56,650"
959,I expect you to know why.,"01:04:56,800","01:04:58,484"
960,The Cradle.,"01:04:59,920","01:05:01,206"
961,"This is the next thing, Tony.","01:05:01,280","01:05:03,203"
962,This is the next me.,"01:05:03,360","01:05:06,330"
963,The Regeneration Cradle prints tissue.,"01:05:06,720","01:05:09,291"
964,It can't build a living body.,"01:05:09,400","01:05:11,050"
965,It can. You can.,"01:05:11,160","01:05:12,241"
966,You lack the materials.,"01:05:12,720","01:05:14,006"
967,"You're a brilliant woman, Helen.","01:05:16,440","01:05:17,805"
968,But we all have room to improve.,"01:05:21,080","01:05:24,163"
969,I didn't realise you were waiting.,"01:05:45,960","01:05:48,361"
970,"I would've joined you, but it didn't seem like the right time.","01:05:48,480","01:05:52,883"
971,They used up all the hot water.,"01:05:53,840","01:05:55,922"
972,I should've joined you.,"01:05:56,760","01:05:58,205"
973,Missed our window.,"01:05:58,360","01:06:00,010"
974,Did we?,"01:06:00,800","01:06:02,040"
975,The world just saw the Hulk.,"01:06:05,600","01:06:06,726"
976,"The real Hulk, for the first time.","01:06:09,400","01:06:11,323"
977,You know I have to leave.,"01:06:14,560","01:06:17,211"
978,You assume that I have to stay?,"01:06:14,560","01:06:17,211"
979,I had this dream.,"01:06:19,280","01:06:21,931"
980,"The kind that seems normal at the time, but when you wake...","01:06:22,280","01:06:26,720"
981,What did you dream?,"01:06:26,920","01:06:28,251"
982,That I was an Avenger.,"01:06:29,280","01:06:31,089"
983,That I was anything more than the assassin they made me.,"01:06:33,120","01:06:36,927"
984,I think you're being hard on yourself.,"01:06:38,400","01:06:40,482"
985,Here I was hoping that was your job.,"01:06:42,600","01:06:45,080"
986,What are you doing?,"01:06:48,040","01:06:49,610"
987,I'm running with it.,"01:06:51,240","01:06:53,049"
988,With you.,"01:06:54,360","01:06:55,964"
989,"If running is the plan, as far as you want.","01:06:56,720","01:07:01,924"
990,Are you out of your mind?,"01:07:03,800","01:07:05,564"
991,I want you to understand that...,"01:07:10,920","01:07:12,331"
992,"Natasha, where can I go?","01:07:12,440","01:07:16,405"
993,Where in the world am I not a threat?,"01:07:17,480","01:07:19,801"
994,You're not a threat to me.,"01:07:19,920","01:07:22,241"
995,Are you sure?,"01:07:19,920","01:07:22,241"
996,Even if I didn't just...,"01:07:23,160","01:07:24,969"
997,There's no future with me.,"01:07:26,600","01:07:27,965"
998,I can't ever...,"01:07:29,640","01:07:30,641"
999,I can't have this.,"01:07:30,880","01:07:33,121"
1000,Kids.,"01:07:33,840","01:07:34,966"
1001,Do the math. I physically can't.,"01:07:35,440","01:07:38,011"
1002,Neither can I.,"01:07:39,760","01:07:41,205"
1003,In the Red Room where I was trained...,"01:07:45,880","01:07:49,407"
1004,"Where I was raised, they have a graduation ceremony.","01:07:49,880","01:07:55,971"
1005,They sterilise you.,"01:07:57,600","01:07:59,409"
1006,It's efficient.,"01:08:02,640","01:08:04,051"
1007,One less thing to worry about.,"01:08:06,960","01:08:08,325"
1008,The one thing that might matter more than a mission.,"01:08:10,440","01:08:13,808"
1009,Makes everything easier.,"01:08:16,160","01:08:18,049"
1010,Even killing.,"01:08:19,440","01:08:20,680"
1011,You still think you're the only monster on the team?,"01:08:25,760","01:08:28,843"
1012,"So, we disappear?","01:08:35,040","01:08:37,122"
1013,Thor didn't say where he was going for answers?,"01:08:43,800","01:08:45,640"
1014,Sometimes my teammates don't tell me things.,"01:08:46,480","01:08:49,006"
1015,I was kind of hoping Thor would be the exception.,"01:08:50,120","01:08:52,168"
1016,"Yeah, give him time.","01:08:52,280","01:08:54,282"
1017,We don't know what the Maximoff kid showed him.,"01:08:54,440","01:08:56,363"
1018,Earth's mightiest heroes.,"01:08:58,560","01:09:00,164"
1019,Pulled us apart like cotton candy.,"01:09:00,320","01:09:01,924"
1020,Seems like you walked away all right.,"01:09:02,280","01:09:03,760"
1021,Is that a problem?,"01:09:06,200","01:09:07,201"
1022,I don't trust a guy without a dark side.,"01:09:07,560","01:09:09,483"
1023,Call me oldfashioned.,"01:09:10,680","01:09:11,727"
1024,"Well, let's just say you haven't seen it yet.","01:09:11,840","01:09:14,411"
1025,"You know Ultron is trying to tear us apart, right?","01:09:14,720","01:09:16,927"
1026,"Well, I guess you'd know.","01:09:17,160","01:09:19,401"
1027,Whether you'd tell us is a bit of a question.,"01:09:19,520","01:09:20,806"
1028,Banner and I were doing research.,"01:09:20,960","01:09:22,086"
1029,That would affect the team.,"01:09:22,240","01:09:24,440"
1030,That would end the team!,"01:09:22,240","01:09:24,440"
1031,Isn't that the mission?,"01:09:24,680","01:09:25,761"
1032,Isn't that the Why We Fight?,"01:09:25,960","01:09:27,200"
1033,So we can end the fight.,"01:09:27,320","01:09:29,561"
1034,So we get to go home!,"01:09:27,320","01:09:29,561"
1035,"Every time someone tries to win a war before it starts, innocent people die.","01:09:32,800","01:09:36,850"
1036,Every time.,"01:09:36,960","01:09:37,961"
1037,I'm sorry. Mr Stark...,"01:09:40,440","01:09:42,841"
1038,"Clint said you wouldn't mind, but our tractor doesn't seem to want to start at all.","01:09:43,720","01:09:47,446"
1039,I thought maybe you might...,"01:09:47,760","01:09:50,120"
1040,"Yeah, I'll give her a kick.","01:09:47,760","01:09:50,120"
1041,Don't take from my pile.,"01:09:53,560","01:09:55,130"
1042,"Hello, Deere.","01:10:05,360","01:10:06,521"
1043,Tell me everything.,"01:10:09,400","01:10:10,811"
1044,What ails you?,"01:10:12,040","01:10:13,405"
1045,Do me a favour.,"01:10:13,640","01:10:14,641"
1046,Try not to bring it to life.,"01:10:16,920","01:10:18,809"
1047,"Why, Ms Barton, you little minx.","01:10:18,960","01:10:20,485"
1048,"I get it. Maria Hill called you, right?","01:10:20,840","01:10:23,366"
1049,Was she ever not working for you?,"01:10:23,480","01:10:24,800"
1050,Artificial intelligence.,"01:10:24,880","01:10:26,370"
1051,You never even hesitated.,"01:10:27,400","01:10:29,050"
1052,"Look, it's been a really long day, like Eugene O'Neill long, so how's about we skip to the part where you're useful.","01:10:29,360","01:10:34,680"
1053,Look me in the eye and tell me you're going to shut him down.,"01:10:34,720","01:10:37,320"
1054,You're not the director of me.,"01:10:37,640","01:10:39,051"
1055,I'm not the director of anybody.,"01:10:39,160","01:10:41,003"
1056,I'm just an old man,"01:10:41,320","01:10:42,924"
1057,who cares very much about you.,"01:10:43,600","01:10:45,170"
1058,And I'm the man who killed the Avengers.,"01:10:48,040","01:10:49,849"
1059,I saw it.,"01:10:51,680","01:10:52,806"
1060,I didn't tell the team. How could I?,"01:10:53,000","01:10:54,570"
1061,"I saw them all dead, Nick. I felt it.","01:10:55,840","01:10:57,683"
1062,"The whole world, too.","01:10:58,040","01:10:59,565"
1063,Because of me.,"01:11:00,000","01:11:01,001"
1064,I wasn't ready.,"01:11:02,240","01:11:03,685"
1065,I didn't do all I could.,"01:11:05,160","01:11:06,571"
1066,"Maximoff girl, she's working you, Stark.","01:11:07,600","01:11:09,682"
1067,Playing on your fear.,"01:11:10,320","01:11:13,802"
1068,"I wasn't tricked, I was shown.","01:11:10,320","01:11:13,802"
1069,"Wasn't a nightmare, it was my legacy.","01:11:13,920","01:11:16,207"
1070,The end of the path I started us on.,"01:11:16,520","01:11:18,682"
1071,"You come up with some pretty impressive inventions, Tony.","01:11:19,560","01:11:21,800"
1072,War isn't one of them.,"01:11:23,960","01:11:25,371"
1073,I watched my friends die.,"01:11:28,960","01:11:30,405"
1074,"You'd think that'd be as bad as it gets, right?","01:11:30,680","01:11:32,682"
1075,Nope.,"01:11:34,120","01:11:35,565"
1076,It wasn't the worst part.,"01:11:36,560","01:11:39,086"
1077,The worst part,"01:11:36,560","01:11:39,086"
1078,is that you didn't.,"01:11:40,120","01:11:41,406"
1079,I'll see you tonight.,"01:11:48,120","01:11:49,201"
1080,I like the look.,"01:11:51,960","01:11:53,246"
1081,"If you're going for inconspicuous, though, near miss.","01:11:54,400","01:11:56,926"
1082,I need your help.,"01:11:57,280","01:11:58,327"
1083,It's nice to be needed.,"01:11:58,560","01:11:59,561"
1084,It's dangerous.,"01:11:59,960","01:12:01,325"
1085,I'd be disappointed if it wasn't.,"01:12:01,960","01:12:03,689"
1086,Ultron took you folks out of play to buy himself time.,"01:12:06,600","01:12:09,922"
1087,My contacts all say he's building something.,"01:12:10,280","01:12:13,250"
1088,"The amount of vibranium he made off with, I don't think it's just one thing.","01:12:13,360","01:12:17,570"
1089,What about Ultron himself?,"01:12:17,680","01:12:19,011"
1090,He's easy to track. He's everywhere.,"01:12:19,120","01:12:21,487"
1091,The guy is multiplying faster than a Catholic rabbit.,"01:12:21,920","01:12:24,287"
1092,"It still doesn't help us get an angle on any of his plans, though.","01:12:24,960","01:12:27,770"
1093,Is he still going after launch codes?,"01:12:28,000","01:12:29,081"
1094,"Yes, he is.","01:12:29,360","01:12:30,725"
1095,But he's not making any headway.,"01:12:30,840","01:12:32,330"
1096,I cracked the Pentagon's firewall in high school on a dare.,"01:12:32,440","01:12:34,522"
1097,"Well, I contacted our friends at the Nexus about that.","01:12:34,640","01:12:37,246"
1098,Nexus?,"01:12:37,320","01:12:38,321"
1099,It's the world Internet hub in Oslo.,"01:12:38,440","01:12:40,090"
1100,Every byte of data flows through there.,"01:12:40,520","01:12:42,284"
1101,Fastest access on Earth.,"01:12:42,520","01:12:43,567"
1102,"So, what did they say?","01:12:43,720","01:12:44,767"
1103,He's fixated on the missiles.,"01:12:45,000","01:12:46,764"
1104,But the codes are constantly being changed.,"01:12:47,000","01:12:48,680"
1105,By whom?,"01:12:49,160","01:12:50,161"
1106,Parties unknown.,"01:12:51,400","01:12:52,606"
1107,Do we have an ally?,"01:12:52,800","01:12:53,926"
1108,Ultron's got an enemy.,"01:12:54,040","01:12:56,361"
1109,That's not the same thing.,"01:12:54,040","01:12:56,361"
1110,"Still, I'd pay folding money to know who it is.","01:12:56,720","01:12:58,563"
1111,I might need to visit Oslo.,"01:12:58,680","01:12:59,841"
1112,Find our unknown.,"01:13:00,320","01:13:01,481"
1113,"Well, this is good times, boss, but I was kind of hoping when I saw you, you'd have more than that.","01:13:01,640","01:13:05,640"
1114,I do. I have you.,"01:13:05,880","01:13:07,882"
1115,"Back in the day, I had eyes everywhere.","01:13:08,760","01:13:11,966"
1116,"Ears, everywhere else.","01:13:08,760","01:13:11,966"
1117,You kids had all the tech you could dream up.,"01:13:12,320","01:13:15,324"
1118,"Here we all are, back on Earth, with nothing but our wit and our will to save the world.","01:13:16,320","01:13:22,050"
1119,Ultron says the Avengers are the only thing,"01:13:23,640","01:13:25,802"
1120,between him and his mission.,"01:13:26,000","01:13:27,445"
1121,"And whether or not he admits it, his mission is global destruction.","01:13:27,560","01:13:32,611"
1122,"All this, laid in a grave.","01:13:33,840","01:13:36,002"
1123,So stand.,"01:13:38,040","01:13:39,724"
1124,Outwit the platinum bastard.,"01:13:40,520","01:13:42,249"
1125,Steve doesn't like that kind of talk.,"01:13:42,880","01:13:44,360"
1126,"You know what, Romanoff?","01:13:44,560","01:13:45,641"
1127,"So, what does he want?","01:13:46,840","01:13:48,171"
1128,To become better.,"01:13:49,880","01:13:51,609"
1129,Better than us.,"01:13:51,720","01:13:53,085"
1130,He keeps building bodies.,"01:13:53,440","01:13:55,841"
1131,Person bodies.,"01:13:53,440","01:13:55,841"
1132,The human form is inefficient.,"01:13:56,440","01:13:58,044"
1133,"Biologically speaking, we're outmoded.","01:13:58,200","01:14:00,362"
1134,But he keeps coming back to it.,"01:14:00,480","01:14:02,448"
1135,"When you two programmed him to protect the human race, you amazingly failed.","01:14:02,560","01:14:06,051"
1136,They don't need to be protected.,"01:14:06,360","01:14:08,203"
1137,They need to evolve.,"01:14:08,920","01:14:10,410"
1138,Ultron's going to evolve.,"01:14:12,560","01:14:14,528"
1139,How?,"01:14:14,720","01:14:15,767"
1140,Has anyone been in contact with Helen Cho?,"01:14:17,080","01:14:19,765"
1141,It's beautiful.,"01:14:23,520","01:14:25,170"
1142,"The vibranium atoms aren't just compatible with the tissue cells, they're binding them.","01:14:25,600","01:14:29,880"
1143,And S.H.I.E.L.D.,"01:14:30,360","01:14:31,646"
1144,never even thought to...,"01:14:30,360","01:14:31,646"
1145,"The most versatile substance on the planet, and they used it to make a Frisbee.","01:14:31,880","01:14:37,040"
1146,Typical of humans.,"01:14:37,240","01:14:38,366"
1147,They scratch the surface and never think,"01:14:38,560","01:14:41,086"
1148,to look within.,"01:14:43,040","01:14:44,565"
1149,I'll take Natasha and Clint.,"01:14:55,080","01:14:56,525"
1150,All right. Strictly recon. I'll hit the Nexus.,"01:14:56,760","01:14:59,966"
1151,I'll join you as soon as I can.,"01:14:56,760","01:14:59,966"
1152,If Ultron's really building a body...,"01:15:00,080","01:15:01,605"
1153,He'll be more powerful than any of us.,"01:15:01,840","01:15:03,365"
1154,Maybe all of us.,"01:15:03,560","01:15:04,641"
1155,An android designed by a robot.,"01:15:05,160","01:15:06,969"
1156,"You know, I really miss the days","01:15:07,200","01:15:08,326"
1157,when the weirdest thing science ever created was me.,"01:15:08,480","01:15:10,608"
1158,I'll drop Banner off at the tower.,"01:15:11,200","01:15:12,850"
1159,You mind if I borrow Ms Hill?,"01:15:13,000","01:15:14,286"
1160,She's all yours. Apparently.,"01:15:14,520","01:15:16,284"
1161,What are you gonna do?,"01:15:16,440","01:15:17,601"
1162,I don't know.,"01:15:17,760","01:15:20,843"
1163,"Something dramatic, I hope.","01:15:17,760","01:15:20,843"
1164,I'm gonna finish reflooring that sunroom as soon as I get back.,"01:15:24,200","01:15:27,884"
1165,"Yeah, then you'll find another part of the house to tear apart.","01:15:28,120","01:15:30,771"
1166,No.,"01:15:30,960","01:15:32,121"
1167,It's the last project.,"01:15:32,760","01:15:34,285"
1168,I promise.,"01:15:35,800","01:15:36,801"
1169,"So, this is it.","01:15:55,080","01:15:56,605"
1170,The Water of Sight.,"01:15:58,240","01:16:00,481"
1171,"In every realm, there's a reflection.","01:16:02,800","01:16:05,201"
1172,"If the water's spirits accept me, I can return to my dream","01:16:06,400","01:16:09,848"
1173,and find what I missed.,"01:16:10,640","01:16:12,085"
1174,"Men who enter that water, the legends don't end well.","01:16:12,320","01:16:16,166"
1175,A hacker who's faster than Ultron?,"01:16:17,840","01:16:19,569"
1176,"He could be anywhere, and as this is the centre of everything, I'm just a guy looking for a needle in the world's biggest haystack.","01:16:19,760","01:16:26,682"
1177,How do you find it?,"01:16:27,680","01:16:29,250"
1178,It's pretty simple. You bring a magnet.,"01:16:29,680","01:16:32,251"
1179,I'm decrypting nuclear codes,"01:16:34,440","01:16:35,560"
1180,And you don't want me to,"01:16:35,680","01:16:37,011"
1181,Come and get me.,"01:16:39,320","01:16:40,810"
1182,Wake up!,"01:16:53,160","01:16:54,207"
1183,Thor!,"01:17:01,040","01:17:02,041"
1184,Extinction.,"01:17:02,880","01:17:03,927"
1185,"Cellular cohesion will take a few hours, but we can initiate the consciousness stream.","01:17:17,400","01:17:22,121"
1186,We're uploading your cerebral matrix,"01:17:22,720","01:17:25,530"
1187,now.,"01:17:25,720","01:17:26,926"
1188,I can read him.,"01:17:28,400","01:17:29,970"
1189,He's dreaming.,"01:17:30,720","01:17:32,245"
1190,I wouldn't call it dreams.,"01:17:32,480","01:17:34,289"
1191,It's Ultron's base consciousness.,"01:17:34,520","01:17:36,363"
1192,Informational noise. Soon...,"01:17:36,560","01:17:38,085"
1193,How soon?,"01:17:38,320","01:17:39,446"
1194,I'm not being pushy.,"01:17:39,680","01:17:41,011"
1195,We're imprinting a physical brain.,"01:17:41,240","01:17:42,890"
1196,There are no shortcuts.,"01:17:43,040","01:17:44,485"
1197,Even if your magic gem...,"01:17:44,760","01:17:45,966"
1198,How could you?,"01:17:56,680","01:17:58,011"
1199,How could I what?,"01:17:58,080","01:17:59,127"
1200,"You said we would destroy the Avengers, make a better world.","01:17:59,400","01:18:03,767"
1201,It will be better.,"01:18:04,080","01:18:05,127"
1202,When everyone is dead?,"01:18:06,080","01:18:08,447"
1203,That is not...,"01:18:06,080","01:18:08,447"
1204,The human race will have every opportunity to improve.,"01:18:09,400","01:18:13,246"
1205,And if they don't?,"01:18:13,760","01:18:15,091"
1206,Ask Noah.,"01:18:15,280","01:18:16,406"
1207,You are a madman.,"01:18:17,600","01:18:18,647"
1208,There were more than a dozen extinctionlevel events,"01:18:18,760","01:18:22,207"
1209,before even the dinosaurs got theirs.,"01:18:22,360","01:18:25,443"
1210,"When the Earth starts to settle, God throws a stone at it.","01:18:25,560","01:18:30,129"
1211,"And, believe me, he's winding up.","01:18:30,280","01:18:32,601"
1212,We have to evolve.,"01:18:33,360","01:18:34,566"
1213,There's no room,"01:18:35,120","01:18:36,281"
1214,for the weak.,"01:18:37,120","01:18:38,246"
1215,And who decides who's weak?,"01:18:38,480","01:18:40,448"
1216,Life.,"01:18:41,320","01:18:43,049"
1217,Life always decides.,"01:18:43,680","01:18:45,489"
1218,There's incoming.,"01:18:48,440","01:18:49,487"
1219,The Quinjet. We have to move.,"01:18:50,960","01:18:54,282"
1220,That's not a problem.,"01:18:50,960","01:18:54,282"
1221,"Wait, guys!","01:19:01,280","01:19:02,281"
1222,They'll understand.,"01:19:06,320","01:19:07,606"
1223,"When they see, they'll understand.","01:19:07,920","01:19:10,048"
1224,I just need a little more time.,"01:19:10,440","01:19:13,728"
1225,Two minutes. Stay close.,"01:19:25,120","01:19:27,248"
1226,Dr Cho!,"01:19:34,440","01:19:35,441"
1227,He's uploading himself into the body.,"01:19:39,360","01:19:40,885"
1228,Where?,"01:19:41,000","01:19:42,047"
1229,The real power is inside the Cradle.,"01:19:43,840","01:19:46,411"
1230,"The gem, its power is uncontainable.","01:19:46,480","01:19:51,011"
1231,You can't just blow it up.,"01:19:51,880","01:19:53,530"
1232,You have to get the Cradle to Stark.,"01:19:54,480","01:19:56,721"
1233,"First, I have to find it.","01:19:56,840","01:19:57,887"
1234,Go.,"01:19:58,200","01:19:59,201"
1235,Did you guys copy that?,"01:19:59,560","01:20:00,800"
1236,We did.,"01:20:00,960","01:20:02,041"
1237,I got a private jet taking off across town.,"01:20:02,200","01:20:04,646"
1238,No manifest.,"01:20:05,000","01:20:06,286"
1239,That could be him.,"01:20:06,400","01:20:07,447"
1240,There. It's a truck from the lab.,"01:20:08,400","01:20:09,970"
1241,"Right above you, Cap.","01:20:10,120","01:20:11,326"
1242,On the loop by the bridge.,"01:20:11,600","01:20:13,409"
1243,It's them.,"01:20:14,000","01:20:15,001"
1244,"You got three with the Cradle, one in the cab.","01:20:15,160","01:20:16,960"
1245,I could take out the driver.,"01:20:17,720","01:20:18,840"
1246,"Negative. That truck crashes, the gem could level the city.","01:20:18,880","01:20:21,650"
1247,We need to draw out Ultron.,"01:20:22,080","01:20:23,320"
1248,"No, no, no, no.","01:20:33,040","01:20:35,088"
1249,Leave me alone!,"01:20:36,920","01:20:37,967"
1250,"Well, he's definitely unhappy.","01:20:46,600","01:20:48,284"
1251,I'm gonna try and keep him that way.,"01:20:48,440","01:20:49,930"
1252,"You're not a match for him, Cap.","01:20:50,040","01:20:51,320"
1253,"Thanks, Barton.","01:20:52,440","01:20:53,521"
1254,You know what's in that cradle?,"01:21:16,240","01:21:17,480"
1255,The power to make real change.,"01:21:18,800","01:21:20,529"
1256,And that terrifies you.,"01:21:20,640","01:21:22,051"
1257,I wouldn't call it a comfort.,"01:21:22,200","01:21:23,360"
1258,Stop it.,"01:21:26,600","01:21:27,647"
1259,"We got a window. Four, three...","01:21:38,480","01:21:41,165"
1260,Give him hell.,"01:21:41,800","01:21:42,801"
1261,I'm always picking up after you boys.,"01:21:53,760","01:21:55,240"
1262,They're heading under the overpass.,"01:21:56,840","01:21:58,490"
1263,I've got no shot.,"01:21:56,840","01:21:58,490"
1264,Which way?,"01:21:58,840","01:21:59,887"
1265,Hard right.,"01:22:00,080","01:22:01,081"
1266,Now.,"01:22:02,240","01:22:03,321"
1267,Out of the way! Coming through!,"01:22:34,200","01:22:36,487"
1268,"Sorry, coming through!","01:22:34,200","01:22:36,487"
1269,Come on!,"01:22:52,240","01:22:53,401"
1270,"Clint, can you draw out the guards?","01:22:53,880","01:22:55,325"
1271,Let's find out.,"01:22:55,440","01:22:56,487"
1272,"Beep, beep!","01:22:57,520","01:22:58,567"
1273,They're heading back towards you.,"01:23:36,040","01:23:37,610"
1274,"So whatever you're gonna do, do it now.","01:23:37,760","01:23:39,320"
1275,I'm going in.,"01:23:44,800","01:23:47,451"
1276,"Cap, can you keep him occupied?","01:23:44,800","01:23:47,451"
1277,What do you think I've been doing?,"01:23:47,600","01:23:49,489"
1278,"Okay, package is airborne.","01:24:33,080","01:24:35,208"
1279,I have a clean shot.,"01:24:35,920","01:24:37,001"
1280,Negative. I am still in the truck.,"01:24:37,440","01:24:38,805"
1281,What the hell are you...,"01:24:38,960","01:24:39,961"
1282,Just be ready.,"01:24:38,960","01:24:39,961"
1283,I'm sending the package to you.,"01:24:40,120","01:24:41,360"
1284,How do you want me to take it?,"01:24:41,840","01:24:43,040"
1285,You might wish you hadn't asked that.,"01:24:43,240","01:24:45,322"
1286,"Please, don't do this.","01:24:58,120","01:24:59,849"
1287,What choice do we have?,"01:25:00,360","01:25:01,930"
1288,I lost him!,"01:25:10,200","01:25:11,201"
1289,He's headed your way!,"01:25:11,360","01:25:12,725"
1290,"Nat, we gotta go.","01:25:17,680","01:25:18,727"
1291,Nat!,"01:25:30,040","01:25:31,849"
1292,"Cap, you see Nat?","01:25:35,880","01:25:36,881"
1293,"If you have the package, get it to Stark! Go!","01:25:37,840","01:25:40,411"
1294,Do you have eyes on Nat?,"01:25:40,720","01:25:41,881"
1295,Go!,"01:25:42,040","01:25:43,041"
1296,Damn it.,"01:25:45,040","01:25:46,041"
1297,Civilians in our path.,"01:25:46,560","01:25:47,641"
1298,Can you stop this thing?,"01:25:48,920","01:25:50,445"
1299,I'm fine.,"01:26:29,320","01:26:30,651"
1300,I just need to take a minute.,"01:26:30,760","01:26:32,444"
1301,I'm very tempted not to give you one.,"01:26:32,920","01:26:34,809"
1302,The Cradle. Did you get it?,"01:26:34,960","01:26:36,849"
1303,Stark will take care of it.,"01:26:37,040","01:26:38,530"
1304,"No, he won't.","01:26:39,920","01:26:40,921"
1305,You don't know what you're talking about. Stark's not crazy.,"01:26:44,440","01:26:46,727"
1306,He will do anything to make things right.,"01:26:46,800","01:26:48,928"
1307,"Stark, come in.","01:26:53,800","01:26:55,086"
1308,Stark.,"01:26:55,600","01:26:56,647"
1309,Anyone on comms.,"01:26:57,960","01:26:59,086"
1310,Ultron can't tell the difference,"01:26:59,200","01:27:00,645"
1311,between saving the world and destroying it.,"01:27:00,800","01:27:03,121"
1312,Where do you think he gets that?,"01:27:05,040","01:27:07,486"
1313,Anything on Nat?,"01:27:09,680","01:27:11,250"
1314,I haven't heard.,"01:27:09,680","01:27:11,250"
1315,"But she's alive, or Ultron would be rubbing our faces in it.","01:27:11,360","01:27:13,727"
1316,This is sealed tight.,"01:27:13,840","01:27:15,171"
1317,"We're gonna need to access the program, break it down from within.","01:27:15,320","01:27:18,803"
