,lines,start,end
939,Here I was hoping that was your job.,"01:06:42,600","01:06:45,080"
940,What are you doing?,"01:06:48,040","01:06:49,610"
941,I'm running with it.,"01:06:51,240","01:06:53,049"
942,With you.,"01:06:54,360","01:06:55,964"
943,"If running is the plan,","01:06:56,720","01:06:59,041"
944,as far as you want.,"01:07:00,160","01:07:01,924"
945,Are you out of your mind?,"01:07:03,800","01:07:05,564"
946,I want you to understand that...,"01:07:10,920","01:07:12,331"
947,"Natasha,","01:07:12,440","01:07:13,851"
948,where can I go?,"01:07:14,960","01:07:16,405"
949,Where in the world am I not a threat?,"01:07:17,480","01:07:19,801"
950,- You're not a threat to me.,"01:07:19,920","01:07:22,241"
951,Even if I didn't just...,"01:07:23,160","01:07:24,969"
952,There's no future with me.,"01:07:26,600","01:07:27,965"
953,I can't ever...,"01:07:29,640","01:07:30,641"
954,I can't have this.,"01:07:30,880","01:07:33,121"
955,Kids.,"01:07:33,840","01:07:34,966"
956,Do the math. I physically can't.,"01:07:35,440","01:07:38,011"
957,Neither can I.,"01:07:39,760","01:07:41,205"
958,In the Red Room where I was trained...,"01:07:45,880","01:07:49,407"
959,"Where I was raised,","01:07:49,880","01:07:52,360"
960,they have a graduation ceremony.,"01:07:53,320","01:07:55,971"
961,They sterilise you.,"01:07:57,600","01:07:59,409"
962,It's efficient.,"01:08:02,640","01:08:04,051"
963,One less thing to worry about.,"01:08:06,960","01:08:08,325"
964,The one thing,"01:08:10,440","01:08:13,808"
965,Makes everything easier.,"01:08:16,160","01:08:18,049"
966,Even killing.,"01:08:19,440","01:08:20,680"
967,You still think,"01:08:25,760","01:08:28,843"
968,"So, we disappear?","01:08:35,040","01:08:37,122"
969,Thor didn't say,"01:08:43,800","01:08:45,640"
970,Sometimes my teammates,"01:08:46,480","01:08:49,006"
971,I was kind of hoping,"01:08:50,120","01:08:52,168"
972,"Yeah, give him time.","01:08:52,280","01:08:54,282"
973,We don't know,"01:08:54,440","01:08:56,363"
974,"""Earth's mightiest heroes.""","01:08:58,560","01:09:00,164"
975,Pulled us apart like cotton candy.,"01:09:00,320","01:09:01,924"
976,Seems like you walked away all right.,"01:09:02,280","01:09:03,760"
977,Is that a problem?,"01:09:06,200","01:09:07,201"
978,I don't trust a guy without a dark side.,"01:09:07,560","01:09:09,483"
979,Call me old-fashioned.,"01:09:10,680","01:09:11,727"
980,"Well, let's just say","01:09:11,840","01:09:14,411"
981,You know Ultron is trying,"01:09:14,720","01:09:16,927"
982,"Well, I guess you'd know.","01:09:17,160","01:09:19,401"
983,Whether you'd tell us,"01:09:19,520","01:09:20,806"
984,Banner and I were doing research.,"01:09:20,960","01:09:22,086"
985,- That would affect the team.,"01:09:22,240","01:09:24,440"
986,Isn't that the mission?,"01:09:24,680","01:09:25,761"
987,"Isn't that the ""Why We Fight""?","01:09:25,960","01:09:27,200"
988,So we can end the fight.,"01:09:27,320","01:09:29,561"
989,Every time someone tries,"01:09:32,800","01:09:35,167"
990,innocent people die.,"01:09:35,280","01:09:36,850"
991,Every time.,"01:09:36,960","01:09:37,961"
992,I'm sorry. Mr Stark...,"01:09:40,440","01:09:42,841"
993,"Clint said you wouldn't mind,","01:09:43,720","01:09:44,880"
994,but our tractor doesn't seem,"01:09:44,920","01:09:47,446"
995,- I thought maybe you might...,"01:09:47,760","01:09:50,120"
996,Don't take from my pile.,"01:09:53,560","01:09:55,130"
997,"Hello, Deere.","01:10:05,360","01:10:06,521"
998,Tell me everything.,"01:10:09,400","01:10:10,811"
999,What ails you?,"01:10:12,040","01:10:13,405"
1000,Do me a favour.,"01:10:13,640","01:10:14,641"
1001,Try not to bring it to life.,"01:10:16,920","01:10:18,809"
1002,"Why, Ms Barton, you little minx.","01:10:18,960","01:10:20,485"
1003,"I get it. Maria Hill called you, right?","01:10:20,840","01:10:23,366"
1004,Was she ever not working for you?,"01:10:23,480","01:10:24,800"
1005,Artificial intelligence.,"01:10:24,880","01:10:26,370"
1006,You never even hesitated.,"01:10:27,400","01:10:29,050"
1007,"Look, it's been a really long day,","01:10:29,360","01:10:30,720"
1008,"like Eugene O'Neill long,","01:10:30,800","01:10:32,404"
1009,so how's about,"01:10:32,520","01:10:34,680"
1010,Look me in the eye and tell me,"01:10:34,720","01:10:37,320"
1011,You're not the director of me.,"01:10:37,640","01:10:39,051"
1012,I'm not the director of anybody.,"01:10:39,160","01:10:41,003"
1013,I'm just an old man,"01:10:41,320","01:10:42,924"
1014,who cares very much about you.,"01:10:43,600","01:10:45,170"
1015,And I'm the man,"01:10:48,040","01:10:49,849"
1016,I saw it.,"01:10:51,680","01:10:52,806"
1017,I didn't tell the team. How could I?,"01:10:53,000","01:10:54,570"
1018,"I saw them all dead, Nick. I felt it.","01:10:55,840","01:10:57,683"
1019,"The whole world, too.","01:10:58,040","01:10:59,565"
1020,Because of me.,"01:11:00,000","01:11:01,001"
1021,I wasn't ready.,"01:11:02,240","01:11:03,685"
1022,I didn't do all I could.,"01:11:05,160","01:11:06,571"
1023,"Maximoff girl, she's working you, Stark.","01:11:07,600","01:11:09,682"
1024,- Playing on your fear.,"01:11:10,320","01:11:13,802"
1025,"Wasn't a nightmare, it was my legacy.","01:11:13,920","01:11:16,207"
1026,The end of the path I started us on.,"01:11:16,520","01:11:18,682"
1027,You come up with some pretty,"01:11:19,560","01:11:21,800"
1028,War isn't one of them.,"01:11:23,960","01:11:25,371"
1029,I watched my friends die.,"01:11:28,960","01:11:30,405"
1030,You'd think that'd be,"01:11:30,680","01:11:32,682"
1031,Nope.,"01:11:34,120","01:11:35,565"
1032,- It wasn't the worst part.,"01:11:36,560","01:11:39,086"
1033,is that you didn't.,"01:11:40,120","01:11:41,406"
1034,I'll see you tonight.,"01:11:48,120","01:11:49,201"
1035,I like the look.,"01:11:51,960","01:11:53,246"
1036,"If you're going for inconspicuous,","01:11:54,400","01:11:56,926"
1037,I need your help.,"01:11:57,280","01:11:58,327"
1038,It's nice to be needed.,"01:11:58,560","01:11:59,561"
1039,It's dangerous.,"01:11:59,960","01:12:01,325"
1040,I'd be disappointed if it wasn't.,"01:12:01,960","01:12:03,689"
1041,Ultron took you folks out of play,"01:12:06,600","01:12:09,922"
1042,My contacts all say,"01:12:10,280","01:12:13,250"
1043,The amount of vibranium,"01:12:13,360","01:12:15,966"
1044,I don't think it's just one thing.,"01:12:16,080","01:12:17,570"
1045,What about Ultron himself?,"01:12:17,680","01:12:19,011"
1046,He's easy to track. He's everywhere.,"01:12:19,120","01:12:21,487"
1047,The guy is multiplying faster,"01:12:21,920","01:12:24,287"
1048,It still doesn't help us get an angle,"01:12:24,960","01:12:27,770"
1049,Is he still going after launch codes?,"01:12:28,000","01:12:29,081"
1050,"Yes, he is.","01:12:29,360","01:12:30,725"
1051,But he's not making any headway.,"01:12:30,840","01:12:32,330"
1052,I cracked the Pentagon's firewall,"01:12:32,440","01:12:34,522"
1053,"Well, I contacted our friends","01:12:34,640","01:12:37,246"
1054,Nexus?,"01:12:37,320","01:12:38,321"
1055,It's the world Internet hub in Oslo.,"01:12:38,440","01:12:40,090"
1056,Every byte of data flows through there.,"01:12:40,520","01:12:42,284"
1057,Fastest access on Earth.,"01:12:42,520","01:12:43,567"
1058,"So, what did they say?","01:12:43,720","01:12:44,767"
1059,He's fixated on the missiles.,"01:12:45,000","01:12:46,764"
1060,But the codes,"01:12:47,000","01:12:48,680"
1061,By whom?,"01:12:49,160","01:12:50,161"
1062,Parties unknown.,"01:12:51,400","01:12:52,606"
1063,Do we have an ally?,"01:12:52,800","01:12:53,926"
1064,Ultron's got an enemy.,"01:12:54,040","01:12:56,361"
1065,"Still, I'd pay folding money","01:12:56,720","01:12:58,563"
1066,I might need to visit Oslo.,"01:12:58,680","01:12:59,841"
1067,Find our unknown.,"01:13:00,320","01:13:01,481"
1068,"Well, this is good times, boss,","01:13:01,640","01:13:03,085"
1069,"but I was kind of hoping when I saw you,","01:13:03,200","01:13:04,486"
1070,you'd have more than that.,"01:13:04,600","01:13:05,640"
1071,I do. I have you.,"01:13:05,880","01:13:07,882"
1072,"Back in the day, I had eyes everywhere.","01:13:08,760","01:13:11,966"
1073,You kids had all the tech,"01:13:12,320","01:13:15,324"
1074,"Here we all are, back on Earth,","01:13:16,320","01:13:18,322"
1075,with nothing but our wit,"01:13:18,560","01:13:22,050"
1076,Ultron says the Avengers,"01:13:23,640","01:13:25,802"
1077,between him and his mission.,"01:13:26,000","01:13:27,445"
1078,"And whether or not he admits it,","01:13:27,560","01:13:29,722"
1079,his mission is global destruction.,"01:13:29,880","01:13:32,611"
1080,"All this, laid in a grave.","01:13:33,840","01:13:36,002"
1081,So stand.,"01:13:38,040","01:13:39,724"
1082,Outwit the platinum bastard.,"01:13:40,520","01:13:42,249"
1083,Steve doesn't like that kind of talk.,"01:13:42,880","01:13:44,360"
1084,"You know what, Romanoff?","01:13:44,560","01:13:45,641"
1085,"So, what does he want?","01:13:46,840","01:13:48,171"
1086,To become better.,"01:13:49,880","01:13:51,609"
1087,Better than us.,"01:13:51,720","01:13:53,085"
1088,- He keeps building bodies.,"01:13:53,440","01:13:55,841"
1089,The human form is inefficient.,"01:13:56,440","01:13:58,044"
1090,"Biologically speaking, we're outmoded.","01:13:58,200","01:14:00,362"
1091,But he keeps coming back to it.,"01:14:00,480","01:14:02,448"
1092,When you two programmed him,"01:14:02,560","01:14:04,680"
1093,you amazingly failed.,"01:14:04,720","01:14:06,051"
1094,They don't need to be protected.,"01:14:06,360","01:14:08,203"
1095,They need to evolve.,"01:14:08,920","01:14:10,410"
1096,Ultron's going to evolve.,"01:14:12,560","01:14:14,528"
1097,How?,"01:14:14,720","01:14:15,767"
1098,Has anyone been in contact,"01:14:17,080","01:14:19,765"
1099,It's beautiful.,"01:14:23,520","01:14:25,170"
1100,The vibranium atoms aren't just,"01:14:25,600","01:14:28,524"
1101,they're binding them.,"01:14:28,640","01:14:29,880"
1102,And S.H.I.E.L.D.,"01:14:30,360","01:14:31,646"
1103,The most versatile substance,"01:14:31,880","01:14:34,451"
1104,and they used it to make a Frisbee.,"01:14:34,560","01:14:37,040"
1105,Typical of humans.,"01:14:37,240","01:14:38,366"
1106,They scratch the surface,"01:14:38,560","01:14:41,086"
1107,to look within.,"01:14:43,040","01:14:44,565"
1108,I'll take Natasha and Clint.,"01:14:55,080","01:14:56,525"
1109,All right. Strictly recon. I'll hit the Nexus.,"01:14:56,760","01:14:59,966"
1110,If Ultron's really building a body...,"01:15:00,080","01:15:01,605"
1111,He'll be more powerful than any of us.,"01:15:01,840","01:15:03,365"
1112,Maybe all of us.,"01:15:03,560","01:15:04,641"
1113,An android designed by a robot.,"01:15:05,160","01:15:06,969"
1114,"You know, I really miss the days","01:15:07,200","01:15:08,326"
1115,when the weirdest thing,"01:15:08,480","01:15:10,608"
1116,I'll drop Banner off at the tower.,"01:15:11,200","01:15:12,850"
1117,You mind if I borrow Ms Hill?,"01:15:13,000","01:15:14,286"
1118,She's all yours. Apparently.,"01:15:14,520","01:15:16,284"
1119,What are you gonna do?,"01:15:16,440","01:15:17,601"
1120,I don't know.,"01:15:17,760","01:15:20,843"
1121,I'm gonna finish reflooring that sunroom,"01:15:24,200","01:15:27,884"
1122,"Yeah, then you'll find","01:15:28,120","01:15:30,771"
1123,No.,"01:15:30,960","01:15:32,121"
1124,It's the last project.,"01:15:32,760","01:15:34,285"
1125,I promise.,"01:15:35,800","01:15:36,801"
1126,"So, this is it.","01:15:55,080","01:15:56,605"
1127,The Water of Sight.,"01:15:58,240","01:16:00,481"
1128,"In every realm, there's a reflection.","01:16:02,800","01:16:05,201"
1129,"If the water's spirits accept me,","01:16:06,400","01:16:07,731"
1130,I can return to my dream,"01:16:07,880","01:16:09,848"
1131,and find what I missed.,"01:16:10,640","01:16:12,085"
1132,"Men who enter that water,","01:16:12,320","01:16:16,166"
1133,A hacker who's faster than Ultron?,"01:16:17,840","01:16:19,569"
1134,"He could be anywhere,","01:16:19,760","01:16:20,807"
1135,"and as this is the centre of everything,","01:16:20,920","01:16:23,161"
1136,I'm just a guy looking for a needle,"01:16:23,280","01:16:26,682"
1137,How do you find it?,"01:16:27,680","01:16:29,250"
1138,It's pretty simple. You bring a magnet.,"01:16:29,680","01:16:32,251"
1139,I'm decrypting nuclear codes,"01:16:34,440","01:16:35,560"
1140,And you don't want me to,"01:16:35,680","01:16:37,011"
1141,Come and get me.,"01:16:39,320","01:16:40,810"
1142,Wake up!,"01:16:53,160","01:16:54,207"
1143,Thor!,"01:17:01,040","01:17:02,041"
1144,Extinction.,"01:17:02,880","01:17:03,927"
1145,Cellular cohesion,"01:17:17,400","01:17:19,528"
1146,but we can initiate,"01:17:19,720","01:17:22,121"
1147,We're uploading your cerebral matrix,"01:17:22,720","01:17:25,530"
1148,now.,"01:17:25,720","01:17:26,926"
1149,I can read him.,"01:17:28,400","01:17:29,970"
1150,He's dreaming.,"01:17:30,720","01:17:32,245"
1151,I wouldn't call it dreams.,"01:17:32,480","01:17:34,289"
1152,It's Ultron's base consciousness.,"01:17:34,520","01:17:36,363"
1153,Informational noise. Soon...,"01:17:36,560","01:17:38,085"
1154,How soon?,"01:17:38,320","01:17:39,446"
1155,I'm not being pushy.,"01:17:39,680","01:17:41,011"
1156,We're imprinting a physical brain.,"01:17:41,240","01:17:42,890"
1157,There are no shortcuts.,"01:17:43,040","01:17:44,485"
1158,Even if your magic gem...,"01:17:44,760","01:17:45,966"
1159,How could you?,"01:17:56,680","01:17:58,011"
1160,How could I what?,"01:17:58,080","01:17:59,127"
1161,You said we would,"01:17:59,400","01:18:02,563"
1162,make a better world.,"01:18:02,720","01:18:03,767"
1163,It will be better.,"01:18:04,080","01:18:05,127"
1164,- When everyone is dead?,"01:18:06,080","01:18:08,447"
1165,The human race will have,"01:18:09,400","01:18:13,246"
1166,And if they don't?,"01:18:13,760","01:18:15,091"
1167,Ask Noah.,"01:18:15,280","01:18:16,406"
1168,You are a madman.,"01:18:17,600","01:18:18,647"
1169,There were more than a dozen,"01:18:18,760","01:18:22,207"
1170,before even the dinosaurs got theirs.,"01:18:22,360","01:18:25,443"
1171,"When the Earth starts to settle,","01:18:25,560","01:18:27,722"
1172,God throws a stone at it.,"01:18:28,240","01:18:30,129"
1173,"And, believe me, he's winding up.","01:18:30,280","01:18:32,601"
1174,We have to evolve.,"01:18:33,360","01:18:34,566"
1175,There's no room,"01:18:35,120","01:18:36,281"
1176,for the weak.,"01:18:37,120","01:18:38,246"
1177,And who decides who's weak?,"01:18:38,480","01:18:40,448"
1178,Life.,"01:18:41,320","01:18:43,049"
1179,Life always decides.,"01:18:43,680","01:18:45,489"
1180,There's incoming.,"01:18:48,440","01:18:49,487"
1181,- The Quinjet. We have to move.,"01:18:50,960","01:18:54,282"
1182,"Wait, guys!","01:19:01,280","01:19:02,281"
1183,They'll understand.,"01:19:06,320","01:19:07,606"
1184,"When they see, they'll understand.","01:19:07,920","01:19:10,048"
1185,I just need a little more time.,"01:19:10,440","01:19:13,728"
1186,Two minutes. Stay close.,"01:19:25,120","01:19:27,248"
1187,Dr Cho!,"01:19:34,440","01:19:35,441"
1188,He's uploading himself into the body.,"01:19:39,360","01:19:40,885"
1189,Where?,"01:19:41,000","01:19:42,047"
1190,The real power is inside the Cradle.,"01:19:43,840","01:19:46,411"
1191,"The gem,","01:19:46,480","01:19:47,527"
1192,its power is uncontainable.,"01:19:48,280","01:19:51,011"
1193,You can't just blow it up.,"01:19:51,880","01:19:53,530"
1194,You have to get the Cradle to Stark.,"01:19:54,480","01:19:56,721"
1195,"First, I have to find it.","01:19:56,840","01:19:57,887"
1196,Go.,"01:19:58,200","01:19:59,201"
1197,Did you guys copy that?,"01:19:59,560","01:20:00,800"
1198,We did.,"01:20:00,960","01:20:02,041"
1199,I got a private jet taking off across town.,"01:20:02,200","01:20:04,646"
1200,No manifest.,"01:20:05,000","01:20:06,286"
1201,That could be him.,"01:20:06,400","01:20:07,447"
1202,There. It's a truck from the lab.,"01:20:08,400","01:20:09,970"
1203,"Right above you, Cap.","01:20:10,120","01:20:11,326"
1204,On the loop by the bridge.,"01:20:11,600","01:20:13,409"
1205,It's them.,"01:20:14,000","01:20:15,001"
1206,"You got three with the Cradle,","01:20:15,160","01:20:16,960"
1207,I could take out the driver.,"01:20:17,720","01:20:18,840"
1208,"Negative. That truck crashes,","01:20:18,880","01:20:20,040"
1209,the gem could level the city.,"01:20:20,080","01:20:21,650"
1210,We need to draw out Ultron.,"01:20:22,080","01:20:23,320"
1211,"No, no, no, no.","01:20:33,040","01:20:35,088"
1212,Leave me alone!,"01:20:36,920","01:20:37,967"
1213,"Well, he's definitely unhappy.","01:20:46,600","01:20:48,284"
1214,I'm gonna try and keep him that way.,"01:20:48,440","01:20:49,930"
1215,"You're not a match for him, Cap.","01:20:50,040","01:20:51,320"
1216,"Thanks, Barton.","01:20:52,440","01:20:53,521"
1217,You know what's in that cradle?,"01:21:16,240","01:21:17,480"
1218,The power to make real change.,"01:21:18,800","01:21:20,529"
1219,And that terrifies you.,"01:21:20,640","01:21:22,051"
1220,I wouldn't call it a comfort.,"01:21:22,200","01:21:23,360"
1221,Stop it.,"01:21:26,600","01:21:27,647"
1222,"We got a window. Four, three...","01:21:38,480","01:21:41,165"
1223,Give him hell.,"01:21:41,800","01:21:42,801"
1224,I'm always picking up after you boys.,"01:21:53,760","01:21:55,240"
1225,They're heading under the overpass.,"01:21:56,840","01:21:58,490"
1226,Which way?,"01:21:58,840","01:21:59,887"
1227,Hard right.,"01:22:00,080","01:22:01,081"
1228,Now.,"01:22:02,240","01:22:03,321"
1229,Out of the way! Coming through!,"01:22:34,200","01:22:36,487"
1230,Come on!,"01:22:52,240","01:22:53,401"
1231,"Clint, can you draw out the guards?","01:22:53,880","01:22:55,325"
1232,Let's find out.,"01:22:55,440","01:22:56,487"
1233,"Beep, beep!","01:22:57,520","01:22:58,567"
1234,They're heading back towards you.,"01:23:36,040","01:23:37,610"
1235,"So whatever you're gonna do, do it now.","01:23:37,760","01:23:39,320"
1236,I'm going in.,"01:23:44,800","01:23:47,451"
1237,What do you think I've been doing?,"01:23:47,600","01:23:49,489"
1238,"Okay, package is airborne.","01:24:33,080","01:24:35,208"
1239,I have a clean shot.,"01:24:35,920","01:24:37,001"
1240,Negative. I am still in the truck.,"01:24:37,440","01:24:38,805"
1241,- What the hell are you...,"01:24:38,960","01:24:39,961"
1242,I'm sending the package to you.,"01:24:40,120","01:24:41,360"
1243,How do you want me to take it?,"01:24:41,840","01:24:43,040"
1244,You might wish you hadn't asked that.,"01:24:43,240","01:24:45,322"
1245,"Please, don't do this.","01:24:58,120","01:24:59,849"
1246,What choice do we have?,"01:25:00,360","01:25:01,930"
1247,I lost him!,"01:25:10,200","01:25:11,201"
1248,He's headed your way!,"01:25:11,360","01:25:12,725"
1249,"Nat, we gotta go.","01:25:17,680","01:25:18,727"
1250,Nat!,"01:25:30,040","01:25:31,849"
1251,"Cap, you see Nat?","01:25:35,880","01:25:36,881"
1252,"If you have the package,","01:25:37,840","01:25:40,411"
1253,Do you have eyes on Nat?,"01:25:40,720","01:25:41,881"
1254,Go!,"01:25:42,040","01:25:43,041"
1255,Damn it.,"01:25:45,040","01:25:46,041"
1256,Civilians in our path.,"01:25:46,560","01:25:47,641"
1257,Can you stop this thing?,"01:25:48,920","01:25:50,445"
1258,I'm fine.,"01:26:29,320","01:26:30,651"
1259,I just need to take a minute.,"01:26:30,760","01:26:32,444"
1260,I'm very tempted not to give you one.,"01:26:32,920","01:26:34,809"
1261,The Cradle. Did you get it?,"01:26:34,960","01:26:36,849"
1262,Stark will take care of it.,"01:26:37,040","01:26:38,530"
1263,"No, he won't.","01:26:39,920","01:26:40,921"
1264,You don't know what you're talking,"01:26:44,440","01:26:46,727"
1265,He will do anything to make things right.,"01:26:46,800","01:26:48,928"
1266,"Stark, come in.","01:26:53,800","01:26:55,086"
1267,Stark.,"01:26:55,600","01:26:56,647"
1268,Anyone on comms.,"01:26:57,960","01:26:59,086"
1269,Ultron can't tell the difference,"01:26:59,200","01:27:00,645"
1270,between saving the world,"01:27:00,800","01:27:03,121"
1271,Where do you think he gets that?,"01:27:05,040","01:27:07,486"
1272,- Anything on Nat?,"01:27:09,680","01:27:11,250"
1273,"But she's alive, or Ultron would","01:27:11,360","01:27:13,727"
1274,This is sealed tight.,"01:27:13,840","01:27:15,171"
1275,We're gonna need,"01:27:15,320","01:27:16,840"
1276,break it down from within.,"01:27:16,880","01:27:18,803"
1277,Any chance Natasha might leave you,"01:27:20,040","01:27:22,766"
1278,Old-school spy stuff?,"01:27:22,880","01:27:23,927"
1279,There are some nets I can cast.,"01:27:24,400","01:27:26,209"
1280,"Yeah, I'll find her.","01:27:26,320","01:27:27,560"
1281,I can work on tissue degeneration,"01:27:30,160","01:27:31,924"
1282,if you could fry whatever,"01:27:32,040","01:27:35,249"
1283,"Yeah, about that.","01:27:35,400","01:27:36,526"
1284,No.,"01:27:40,960","01:27:41,961"
1285,- You have to trust me.,"01:27:42,160","01:27:44,003"
1286,"Our ally, the guy protecting","01:27:44,160","01:27:48,210"
1287,I found him.,"01:27:50,160","01:27:51,161"
1288,"Hello, Dr Banner.","01:27:51,240","01:27:52,366"
1289,Ultron didn't go after Jarvis,"01:27:53,240","01:27:55,481"
1290,He attacked him because he was,"01:27:56,080","01:27:59,687"
1291,So Jarvis went underground.,"01:28:00,840","01:28:02,490"
1292,"Scattered, dumped his memory.","01:28:02,600","01:28:04,090"
1293,But not his protocols.,"01:28:04,680","01:28:06,170"
1294,He didn't even know he was in there,"01:28:06,600","01:28:10,047"
1295,"So, you want me to help you","01:28:12,880","01:28:17,681"
1296,No! Of course not.,"01:28:17,800","01:28:19,564"
1297,I wanna help you put Jarvis in this thing.,"01:28:19,720","01:28:21,404"
1298,"We're out of my field, here.","01:28:23,800","01:28:25,450"
1299,You know bio-organics,"01:28:25,560","01:28:27,562"
1300,And you just assume,"01:28:27,880","01:28:30,770"
1301,can beat Ultron's?,"01:28:30,880","01:28:32,325"
1302,Jarvis has been beating him from inside,"01:28:32,440","01:28:35,728"
1303,This is the opportunity.,"01:28:35,880","01:28:36,881"
1304,We can create Ultron's perfect self,"01:28:36,960","01:28:38,724"
1305,without the homicidal glitches,"01:28:38,880","01:28:42,362"
1306,- We have to.,"01:28:42,480","01:28:44,562"
1307,I'm in a loop!,"01:28:47,160","01:28:48,241"
1308,I'm caught in a time loop.,"01:28:48,400","01:28:51,370"
1309,I know. I know. I know,"01:28:51,480","01:28:53,400"
1310,But they're already saying it.,"01:28:53,480","01:28:55,448"
1311,We're mad scientists.,"01:28:56,000","01:28:57,161"
1312,"We're monsters, buddy.","01:28:57,920","01:29:00,651"
1313,Make a stand.,"01:29:01,640","01:29:02,880"
1314,It's not a loop.,"01:29:08,280","01:29:09,770"
1315,It's the end of the line.,"01:29:11,000","01:29:12,764"
1316,I wasn't sure you would wake up.,"01:29:33,280","01:29:35,408"
1317,I hoped you would.,"01:29:35,520","01:29:38,967"
1318,I don't have anyone else.,"01:29:39,120","01:29:40,804"
1319,I think a lot about meteors.,"01:29:43,640","01:29:47,247"
1320,Boom! The end.,"01:29:47,400","01:29:48,925"
1321,Start again.,"01:29:49,400","01:29:50,811"
1322,The world made clean,"01:29:50,960","01:29:52,928"
1323,for the new man to rebuild.,"01:29:53,040","01:29:55,361"
1324,I was meant to be new.,"01:29:55,680","01:29:57,808"
1325,I was meant to be beautiful.,"01:29:58,680","01:30:01,286"
1326,The world would have looked to the sky,"01:30:01,840","01:30:03,968"
1327,"and seen hope,","01:30:04,080","01:30:05,320"
1328,seen mercy.,"01:30:05,680","01:30:07,011"
1329,"Instead, they'll look up in horror","01:30:07,800","01:30:09,882"
1330,because of you.,"01:30:10,000","01:30:11,331"
1331,You've wounded me.,"01:30:11,520","01:30:13,329"
1332,I give you full marks for that.,"01:30:14,000","01:30:15,684"
1333,"But, like the man said,","01:30:16,320","01:30:19,244"
1334,...just makes me stronger.,"01:30:24,480","01:30:25,811"
1335,This framework is not compatible.,"01:31:05,880","01:31:08,042"
1336,The genetic coding tower is at 97%.,"01:31:08,200","01:31:10,885"
1337,You have got to upload that schematic,"01:31:11,000","01:31:14,846"
1338,- I'm gonna say this once.,"01:31:17,120","01:31:19,043"
1339,- Shut it down!,"01:31:19,240","01:31:21,288"
1340,You don't know what you're doing.,"01:31:21,400","01:31:22,561"
1341,And you do?,"01:31:22,720","01:31:24,051"
1342,She's not in your head?,"01:31:24,400","01:31:25,401"
1343,I know you're angry.,"01:31:25,560","01:31:27,210"
1344,We're way past that.,"01:31:27,320","01:31:28,685"
1345,I could choke the life out of you,"01:31:28,800","01:31:31,246"
1346,"Banner, after everything","01:31:31,480","01:31:33,160"
1347,It's nothing compared to what's coming!,"01:31:33,240","01:31:34,605"
1348,- You don't know what's in there.,"01:31:34,720","01:31:37,087"
1349,"No, no. Go on.","01:31:40,400","01:31:41,811"
1350,You were saying?,"01:31:42,760","01:31:44,683"
1351,Pietro!,"01:31:50,920","01:31:51,967"
1352,What?,"01:31:52,520","01:31:53,601"
1353,You didn't see that coming?,"01:31:54,000","01:31:55,570"
1354,I'm rerouting the upload.,"01:31:57,760","01:31:58,921"
1355,"Go ahead, piss me off.","01:32:05,240","01:32:07,004"
1356,Wait!,"01:32:19,320","01:32:20,446"
1357,I am sorry. That was,"01:33:45,120","01:33:47,361"
1358,odd.,"01:33:48,360","01:33:49,771"
1359,Thank you.,"01:33:50,000","01:33:51,240"
1360,Thor.,"01:33:56,160","01:33:57,207"
1361,- You helped create this?,"01:33:58,720","01:34:01,326"
1362,"A whirlpool that sucks in all hope of life,","01:34:01,560","01:34:05,281"
1363,What? The gem?,"01:34:06,240","01:34:07,241"
1364,It's the Mind Stone.,"01:34:07,400","01:34:09,971"
1365,"The greatest power in the universe,","01:34:10,120","01:34:11,360"
1366,unparalleled in,"01:34:11,480","01:34:13,642"
1367,- Then why would you bring...,"01:34:13,760","01:34:15,728"
1368,It's definitely the end times.,"01:34:15,920","01:34:18,366"
1369,The Avengers cannot defeat Ultron.,"01:34:18,560","01:34:19,721"
1370,Not alone.,"01:34:19,880","01:34:21,120"
1371,Why does your Vision sound like Jarvis?,"01:34:21,520","01:34:23,443"
1372,We reconfigured Jarvis's matrix,"01:34:23,560","01:34:26,245"
1373,to create something new.,"01:34:26,760","01:34:28,524"
1374,I think I've had my fill of new.,"01:34:28,760","01:34:30,444"
1375,You think I'm a child of Ultron.,"01:34:30,600","01:34:32,887"
1376,You're not?,"01:34:33,240","01:34:34,526"
1377,I'm not Ultron.,"01:34:35,680","01:34:37,250"
1378,I am not Jarvis. I am...,"01:34:37,880","01:34:40,087"
1379,I am.,"01:34:42,200","01:34:43,611"
1380,I looked in your head,"01:34:45,520","01:34:46,646"
1381,and saw annihilation.,"01:34:47,360","01:34:49,124"
1382,Look again.,"01:34:49,280","01:34:50,645"
1383,Her seal of approval means jack to me.,"01:34:50,760","01:34:52,280"
1384,"Their powers, the horrors in our heads,","01:34:52,760","01:34:54,762"
1385,"Ultron himself, they all came","01:34:54,920","01:34:56,968"
1386,And they're nothing,"01:34:57,120","01:34:59,282"
1387,- But with it on our side...,"01:34:59,440","01:35:00,965"
1388,Are you?,"01:35:02,400","01:35:03,561"
1389,On our side?,"01:35:04,440","01:35:05,885"
1390,I don't think it's that simple.,"01:35:07,760","01:35:09,649"
1391,"Well, it better","01:35:09,800","01:35:12,246"
1392,I am on the side of life.,"01:35:13,400","01:35:15,528"
1393,Ultron isn't.,"01:35:15,760","01:35:17,125"
1394,He will end it all.,"01:35:17,720","01:35:19,131"
1395,What's he waiting for?,"01:35:19,280","01:35:21,203"
1396,- You.,"01:35:21,360","01:35:22,361"
